genre,total_valid_windows,mean_valid_windows,min_valid_windows_across_modalities,n_modalities,total_tracks,mean_genre_score,median_genre_score,selection_rank
blues,366,61.0,61,6,29190,2.5674460485137236,2.6245680311606043,1
classic rock,365,60.833333333333336,60,6,55926,1.9638646863966003,1.977643698907072,2
pop,341,56.833333333333336,56,6,212303,2.331636244578433,2.602143268981454,3
jazz,339,56.5,54,6,31282,3.0327076851482926,2.3611428387412605,4
soul,336,56.0,56,6,75074,3.1154851017418,3.9965562607830334,5
singer-songwriter,329,54.833333333333336,54,6,83329,2.282235828751786,1.968499492117748,6
progressive rock,317,52.833333333333336,52,6,39435,2.2441486706004175,1.5543772038000008,7
mpb,311,51.833333333333336,51,6,40112,3.821790913276494,4.700199808772176,8
country,310,51.666666666666664,50,6,39157,3.789210912122494,5.113283647405363,9
bossa nova,310,51.666666666666664,45,6,14144,3.400146363092506,2.986106954563671,10
rock,306,51.0,51,6,62743,2.265635893219055,2.4460865300339,11
hard rock,306,51.0,51,6,55543,1.9471402133493854,1.4480638356114517,12
funk,300,50.0,50,6,29122,2.501502109734125,2.54886820793292,13
soft rock,284,47.333333333333336,44,6,12863,2.614170793893696,2.098433958538925,14
disco,275,45.833333333333336,45,6,18793,2.8020631168765555,2.924069621983506,15
punk,264,44.0,44,6,36730,2.788056481236049,2.1991365678847545,16
post-punk,258,43.0,43,6,40783,2.4222348814928125,2.3915734452470674,17
new wave,258,43.0,43,6,42375,2.123424383879581,1.7024334282086606,18
soundtrack,256,42.666666666666664,41,6,44075,3.215455284654135,2.393992804806179,19
psychedelic rock,252,42.0,42,6,23538,2.2923898215026273,1.8046399994832785,20
easy listening,252,42.0,37,6,9294,3.3402560314658465,3.252876300066283,21
folk,248,41.333333333333336,38,6,45023,3.226291046694314,3.884386229341656,22
samba,242,40.333333333333336,37,6,14610,3.6670685309841065,3.025248413760693,23
ambient,233,38.833333333333336,38,6,30020,2.599142841270821,2.200095603663091,24
glam rock,222,37.0,32,6,11786,2.207417266538575,2.12238881228214,25
thrash metal,221,36.833333333333336,36,6,20230,2.5335872835924174,2.185719490121762,26
alternative rock,221,36.833333333333336,36,6,63475,1.9539786970355235,1.800732058318136,27
shoegaze,209,34.833333333333336,34,6,29721,2.7736531742763693,2.543116295692178,28
latin,206,34.333333333333336,31,6,23306,2.927975851848115,2.6252094680670486,29
synthpop,204,34.0,34,6,25072,2.4003522071210033,2.291805229535596,30
brazilian rock,203,33.833333333333336,33,6,9218,2.9061394130032703,2.2152465976999864,31
gothic rock,202,33.666666666666664,32,6,11835,3.088092500286463,3.179676948554813,32
doom metal,197,32.833333333333336,32,6,15821,2.705823157633651,2.3138294807678785,33
hip hop,192,32.0,32,6,44076,2.6641984633424705,2.40730507997496,34
grunge,192,32.0,32,6,24875,2.1177620096631244,1.838837622870748,35
hardcore punk,190,31.666666666666668,30,6,10356,2.327974494042788,2.113361826081249,36
reggae,189,31.5,29,6,11962,4.180292471547975,4.797301402797107,37
britpop,186,31.0,31,6,28083,2.9861477006079746,2.767981899483537,38
power metal,185,30.833333333333332,30,6,20953,3.1661777760918817,2.804740367574452,39
dream pop,181,30.166666666666668,26,6,21445,3.3535001075254307,2.50941933682519,40
death metal,180,30.0,30,6,9250,3.5282586353189465,2.492646800492203,41
progressive metal,180,30.0,30,6,19593,2.707639836883013,2.51402294990942,42
hardcore,178,29.666666666666668,28,6,9503,2.4707610575137005,2.3337109645142347,43
pop rock,177,29.5,27,6,32923,2.3337290769118275,2.020997780701002,44
indie rock,174,29.0,29,6,95725,2.3794098434226876,1.8107024784198915,45
brutal death metal,168,28.0,28,6,6224,2.646659419898738,2.308274453432169,46
alternative metal,168,28.0,28,6,12988,1.8930762964806653,1.8604621514176216,47
metal,165,27.5,25,6,7512,3.099061098572425,3.828192565788144,48
industrial rock,165,27.5,25,6,7236,2.1232590325394685,2.283001507913053,49
ska,163,27.166666666666668,23,6,6661,3.2860962070939728,3.2759218536664165,50
