genre,total_valid_windows,mean_valid_windows,min_valid_windows_across_modalities,n_modalities,total_tracks,mean_genre_score,selection_rank
soul,359,59.833333333333336,59,6,84808,1.0,1
classic rock,358,59.666666666666664,58,6,63528,1.0,2
rock,353,58.833333333333336,58,6,253562,1.0,3
blues,347,57.833333333333336,57,6,16655,1.0,4
pop,342,57.0,57,6,345898,1.0,5
jazz,335,55.833333333333336,55,6,37418,1.0,6
mpb,318,53.0,53,6,46236,1.0,7
progressive rock,317,52.833333333333336,52,6,41750,1.0,8
folk,305,50.833333333333336,50,6,92680,1.0,9
country,305,50.833333333333336,50,6,35148,1.0,10
singer-songwriter,304,50.666666666666664,49,6,50730,1.0,11
hard rock,299,49.833333333333336,49,6,37160,1.0,12
funk,297,49.5,47,6,19417,1.0,13
punk,264,44.0,44,6,37510,1.0,14
new wave,258,43.0,43,6,32590,1.0,15
electronic,257,42.833333333333336,42,6,142041,1.0,16
metal,252,42.0,42,6,27173,1.0,17
post-punk,247,41.166666666666664,37,6,34074,1.0,18
soundtrack,241,40.166666666666664,36,6,41555,1.0,19
reggae,236,39.333333333333336,36,6,15646,1.0,20
ambient,231,38.5,36,6,40778,1.0,21
experimental,230,38.333333333333336,35,6,31443,1.0,22
thrash metal,222,37.0,37,6,20930,1.0,23
alternative rock,215,35.833333333333336,35,6,66212,1.0,24
power metal,202,33.666666666666664,32,6,16882,1.0,25
industrial,196,32.666666666666664,31,6,13089,1.0,26
doom metal,192,32.0,32,6,12686,1.0,27
bossa nova,190,31.666666666666668,30,6,9439,1.0,28
samba,187,31.166666666666668,27,6,8872,1.0,29
rap,186,31.0,31,6,64436,1.0,30
progressive metal,186,31.0,31,6,25423,1.0,31
death metal,185,30.833333333333332,30,6,19902,1.0,32
post-hardcore,180,30.0,30,6,40215,1.0,33
grunge,180,30.0,30,6,17737,1.0,34
britpop,180,30.0,30,6,15131,1.0,35
dream pop,176,29.333333333333332,26,6,18652,1.0,36
hip hop,174,29.0,29,6,17209,1.0,37
latin,173,28.833333333333332,28,6,16262,1.0,38
shoegaze,172,28.666666666666668,27,6,25376,1.0,39
black metal,172,28.666666666666668,27,6,24438,1.0,40
indie pop,167,27.833333333333332,27,6,44572,1.0,41
synthpop,167,27.833333333333332,27,6,27411,1.0,42
indie rock,162,27.0,27,6,104285,1.0,43
disco,162,27.0,22,6,9041,1.0,44
gothic metal,160,26.666666666666668,25,6,12725,1.0,45
post-rock,156,26.0,26,6,22641,1.0,46
stoner rock,152,25.333333333333332,22,6,6036,1.0,47
lo-fi,150,25.0,25,6,19274,1.0,48
industrial metal,150,25.0,25,6,8164,1.0,49
melodic death metal,149,24.833333333333332,24,6,15806,1.0,50
