analysis,modality,mean_cosine_distance,ci_lower,ci_upper,n_transitions,n_genres
overlapping,essentia,0.05425389153939304,0.04610850075063009,0.062429489729096475,2126,50
overlapping,lyrics_tf_idf,0.13895640415315727,0.12835539922674696,0.14877820328925082,2126,50
overlapping,mfcc,0.05563702692756212,0.04710020482336809,0.0647963337631722,2126,50
overlapping,musicnn,0.02568635063713241,0.019967749513040797,0.031648568734897485,2126,50
overlapping,vgg19,0.10616966591140288,0.09689625597490077,0.11493978116900229,2040,50
overlapping,word2vec,0.06351461837087996,0.05415383203084542,0.07232498568955845,2126,50
non_overlapping,essentia,0.2175466496408755,0.18926476354547747,0.24574426236869842,402,50
non_overlapping,lyrics_tf_idf,0.4253910743940093,0.3898425843413874,0.4626120250858891,402,50
non_overlapping,mfcc,0.11140207467179489,0.09604880761862389,0.12818864784740597,402,50
non_overlapping,musicnn,0.054450825468577914,0.0464552836589916,0.06340335066668908,402,50
non_overlapping,vgg19,0.5144562652177148,0.472440606391703,0.5571080836699641,382,50
non_overlapping,word2vec,0.18601501378331747,0.15997204454043193,0.21108473297160998,402,50
