feature,first_window_value,last_window_value,last_minus_first,linear_trend,mean_value,median_value
love,0.0704214276773716,0.043697987316867005,-0.026723440360504593,-0.00044026535843330654,0.05317249737763844,0.051512161362147965
babi,0.03714892275123692,0.018021253309793695,-0.019127669441443226,-0.0004390418422276396,0.025715188075398732,0.022377335030493824
want,0.017189142098516925,0.04374162182619558,0.026552479727678654,0.0003081838103170542,0.03231442794849085,0.03352552419364536
blue,0.03333727369837839,0.005945698670911882,-0.02739157502746651,-0.00028826188176952024,0.010098661207238922,0.007658380992351979
feel,0.015613508488972602,0.03068751220100778,0.015074003712035178,0.0002765212848870669,0.022418385564489565,0.0228529379911315
man,0.016345282611159785,0.010244659675156436,-0.0061006229360033495,-0.00024634358314167584,0.017521819967401604,0.017121598168550772
well,0.03522530354266868,0.016054308795734412,-0.019170994746934268,-0.0002330729724711428,0.02056835490112502,0.01855986284533185
like,0.021464912751560566,0.03925343159817815,0.017788518846617585,0.0002299853240759559,0.0282192630486043,0.028606500947785038
pron,0.007741278030915745,0.02064025917228855,0.012898981141372804,0.00021712539958568006,0.01489851916123056,0.015125419826740396
cri,0.01771627422422592,0.008467857020218794,-0.009248417204007126,-0.0002148800427655472,0.013518001646873836,0.012766570279254522
yes,0.012188779594042487,0.005068992651963006,-0.007119786942079482,-0.00020258076608691903,0.008811032131132287,0.006849256813905344
woman,0.01179338711083623,0.0033663768511959474,-0.008427010259640282,-0.00019755134058993299,0.007782030674236073,0.006678169786137204
life,0.008042158805812981,0.019439598151102962,0.011397439345289981,0.00018217821639395762,0.018905068123789528,0.020004794612595352
let,0.01731166618690956,0.027006100821765102,0.009694434634855541,0.0001783239845106786,0.020625732900925915,0.019437728111111222
light,0.0037496637445824446,0.015941634626705403,0.012191970882122958,0.0001757571325455796,0.011247496186523483,0.012027293343234042
breath,0.0002821984141838777,0.008935532527780423,0.008653334113596546,0.00016905231578766755,0.004898436169237861,0.004661465321673334
insid,0.0031518111794301192,0.009719810294422947,0.0065679991149928275,0.00016397711929322465,0.008595528173958759,0.010036711017845458
everyth,0.00566652629757596,0.014429556125659439,0.008763029828083479,0.00016368290476724532,0.010245281272402517,0.009129893841054023
never,0.025941229613080742,0.02561572935472718,-0.00032550025835356364,0.0001595045066410672,0.0230032810359911,0.023795239648258384
old,0.018710591982685668,0.007354373364094245,-0.011356218618591422,-0.00015591692115642146,0.010127623210772934,0.008337422771603063
fuck,0.0,0.015031089539899933,0.015031089539899933,0.0001544827394014752,0.0028307623814858946,0.001930312490138716
littl,0.02155256585317007,0.011238647948848844,-0.010313917904321224,-0.00015409726497040533,0.014002777312601885,0.012558825655541592
lose,0.006917155454209728,0.01528090008745514,0.008363744633245412,0.00015347792461913775,0.011612258487763882,0.011962132934050395
sweet,0.0121796017033788,0.0049574591190725,-0.0072221425843062995,-0.00014258378625963463,0.0080341478820428,0.00687673744000944
away,0.010151514676197841,0.01768150608391642,0.007529991407718577,0.00014075721484361968,0.01838713873628296,0.019362020177260252
one,0.01699602986074817,0.026045782833779688,0.009049752973031518,0.00014043630617806234,0.025324063941833057,0.02616994767909692
take,0.01192349244081204,0.02458439567641057,0.012660903235598528,0.00013666516802821906,0.023133335869872877,0.024315389455859596
wait,0.0022560822314654843,0.013555280399419356,0.011299198167953873,0.00013560303851548926,0.011414057268637859,0.012020615187216286
fall,0.01456152721054686,0.01607937453898282,0.00151784732843596,0.00013140388511000386,0.013680842488269205,0.013687387420260098
darl,0.009406297851262018,0.002446153642596858,-0.00696014420866516,-0.00013011832243222936,0.003905738503078385,0.0024568213184794027
burn,0.003952017940016354,0.009975027640417473,0.006023009700401119,0.0001290420659266896,0.007756907100525586,0.009288650287884608
alway,0.01046678131892813,0.014337133662737424,0.003870352343809294,0.00012850228827602838,0.011523924080768726,0.012316546131821189
true,0.012735976216173998,0.005456485636403489,-0.00727949057977051,-0.000126909740260006,0.008130695533747321,0.007111178564867454
give,0.009225527537763534,0.01990448711069426,0.010678959572930727,0.0001257277947669393,0.017489344137036865,0.01856319548257459
noth,0.008552083876178139,0.015520957676129803,0.006968873799951664,0.00012352861722102115,0.013101902700309228,0.013464040826826807
make,0.016723762342494463,0.025952408132646074,0.009228645790151611,0.00012267674593046196,0.02380166030103419,0.02432718489864574
end,0.006073449347996699,0.012454170028268822,0.006380720680272123,0.00012220644439506749,0.009926618463096244,0.010213838117703714
blood,0.0008075555806516373,0.006449272733221229,0.005641717152569592,0.00011787811720791088,0.004892145967720931,0.006264026574508255
time,0.016089387776499195,0.02771724162647694,0.011627853849977745,0.0001169017933931177,0.02643266764371259,0.02736945497239989
dark,0.0028010913360825337,0.010669004678307604,0.00786791334222507,0.00011224422084290365,0.007537165044561039,0.008115925221685093
