feature,n_tracks,n_nonzero_tracks,n_zero_tracks,nonzero_share,mean_tfidf,std_tfidf,mean_nonzero_tfidf,median_nonzero_tfidf,max_tfidf
abl,97883,1010,96873,0.010318441404533984,0.0015406976728849482,0.018516699291965023,0.1493149607079182,0.12210050016579,0.8994954806884735
accept,97883,898,96985,0.00917421819927873,0.0013728127025593615,0.017765638314401373,0.14963811332362806,0.11802579459594795,0.9812319409137618
across,97883,2176,95707,0.022230622273530645,0.002661166159990665,0.021616342081190842,0.11970722759116095,0.09977315446923725,0.770744330525168
act,97883,2296,95587,0.023456575707732703,0.002422380814664448,0.02014997214423997,0.10327086292761331,0.0793129221582401,0.8695600959966461
addict,97883,769,97114,0.007856318257511518,0.0011767692546723113,0.018421273520120664,0.149786352347321,0.0996983263795507,0.967883807349859
afraid,97883,3150,94733,0.03218127764780401,0.004151676179228878,0.029760714544223774,0.12900905379411434,0.09528914171940281,0.8880336173550964
age,97883,1416,96467,0.01446625052358428,0.0020410070829013642,0.021414350826532154,0.1410874973839225,0.11013618384378296,0.8079366768511863
ago,97883,1342,96541,0.013710245905826344,0.0017579131897312809,0.01833774728433985,0.12821893945638374,0.10247537268250885,0.7121900183334271
ah,97883,2359,95524,0.02410020126068878,0.004902118135175176,0.045008880934146574,0.20340569284669427,0.1167275216348696,0.991431129597608
ahead,97883,1359,96524,0.013883922642338302,0.0018144890912299755,0.01984122809271051,0.13068994533985553,0.0990284795841366,0.9239673765471268
ahh,97883,395,97488,0.0040354300542484395,0.0008509018709311394,0.018839081434365,0.21085779198063972,0.1256362286460355,0.9433696187810824
air,97883,3916,93967,0.04000694706946048,0.0046991614463296385,0.030772725183859484,0.11745863632560881,0.08964031227908059,0.9686109269249972
aliv,97883,3787,94096,0.03868904712769327,0.005307083247871447,0.03670913687725945,0.13717275668111986,0.0947136913685737,0.9440494921083152
almost,97883,1752,96131,0.01789892013935004,0.002459257844878996,0.02455929022919827,0.1373969952227687,0.0990464720029274,0.9378156257309674
alon,97883,10244,87639,0.10465555816638232,0.011210385287005045,0.046384210193429844,0.10711696046933958,0.07395831392211824,0.9729912188515636
along,97883,3156,94727,0.03224257531951411,0.0037809688071068787,0.02688623196782393,0.11726634022371439,0.08905056870534764,0.8758656731517591
alreadi,97883,3781,94102,0.038627749455983164,0.004813968607837291,0.031116828383365547,0.12462462027001786,0.0938654175689123,0.9581978878670836
alright,97883,3141,94742,0.032089331140238854,0.005033818785655702,0.039428181058475634,0.15686892206187109,0.0973707560177885,0.9683149486390904
also,97883,941,96942,0.009613518179867801,0.0013003066491823494,0.015940893758009427,0.1352581463782316,0.1126772439878062,0.8281830024519395
although,97883,895,96988,0.009143569363423679,0.0012651008787383758,0.0159839882047904,0.1383596305179312,0.1078554765223973,0.6856706298219922
alway,97883,13131,84752,0.13414995453756015,0.013429069774532556,0.048255785861907985,0.10010491483821264,0.0694545672831903,0.9631101508940731
angel,97883,2447,95436,0.024999233779103625,0.003953556615872904,0.03385434414680362,0.15814711165978237,0.1081572105362075,0.9866415883134622
anim,97883,880,97003,0.008990325184148423,0.0016143649905936664,0.023482911823398137,0.17956691860713622,0.12081499195967116,0.9709731539724558
anoth,97883,8197,89686,0.08374283583461888,0.00916402339079558,0.04210283918158606,0.10943053575225616,0.0764277506774111,0.9647695080962918
answer,97883,2800,95083,0.028605580131381342,0.0034601557482463034,0.026067645876695338,0.12096086610914032,0.09050333040286146,0.8890006429286642
anybodi,97883,780,97103,0.007968697322313374,0.0013984525255237594,0.02106724409103189,0.17549324173825917,0.118871390886667,1.0
anymor,97883,4072,93811,0.041600686533923154,0.006214488407248414,0.03978241181917819,0.14938427523740092,0.10576709132585645,0.9365533464108168
anyon,97883,2166,95717,0.022128459487347138,0.0030916750574039374,0.02682243922117329,0.1397148797986471,0.10181970796477405,0.9349218652226738
anyth,97883,4531,93352,0.04628995841974602,0.0057374287348993585,0.03531755989123956,0.12394542857165171,0.0866796498778901,0.961560781020896
anyway,97883,1434,96449,0.014650143538714588,0.002132621242080672,0.023099484605941474,0.1455699895666544,0.10626769894443765,0.8525499534446505
anywher,97883,892,96991,0.009112920527568628,0.0014875575321468312,0.020274487415116768,0.16323609183758775,0.1218618571941904,0.8892013093951805
apart,97883,3343,94540,0.03415301942114565,0.004155508001677632,0.0281301860486623,0.12167322456721855,0.0917418028058664,0.8692573682552627
appear,97883,966,96917,0.009868925145326564,0.0013696917917483265,0.01640278224717731,0.13878834539513607,0.11595968185825509,0.7661572394400197
arm,97883,4328,93555,0.04421605386022088,0.0051719541568513334,0.03160241246065971,0.11697005285006448,0.08727967920884865,0.9096541181719744
around,97883,12672,85211,0.12946068265173727,0.011822158957327045,0.04308769220392199,0.09131852787405645,0.06423659357969325,0.9013741471373206
arriv,97883,1558,96325,0.015916962087390046,0.0023424578034255674,0.02321235595374396,0.14716739228029835,0.1158797047005696,0.919755177410755
ash,97883,956,96927,0.009766762359143059,0.0016123078052175258,0.020395335741824363,0.16508109298965176,0.12737377922415,0.8939035189147566
ask,97883,6397,91486,0.06535353432158802,0.006853488550924253,0.03531119907461685,0.1048679099312363,0.075674334047234,0.972528159320044
asleep,97883,1275,96608,0.013025755238396861,0.0017020884488091609,0.01818567740490443,0.1306709989292448,0.1065635791997499,0.8332378073123682
ass,97883,1198,96685,0.012239101784783874,0.0013039062613934517,0.016231487499928098,0.1065361073321997,0.07260390097076665,0.8579644200921884
attack,97883,805,97078,0.008224104287772135,0.0010885260125164113,0.01587503017211027,0.132358002090862,0.1012867222812856,0.9645032863233146
attent,97883,1025,96858,0.010471685583809242,0.0012637751016963054,0.015929776203610767,0.12068497393106288,0.0890664992347405,0.8339079024090721
awak,97883,1699,96184,0.017357457372577465,0.0023301734931057494,0.022202992019604042,0.1342462460421837,0.1024607171966984,0.8428490746820521
away,97883,19065,78818,0.1947733518588519,0.019375550321646135,0.05709678402199106,0.09947741894223386,0.0676930397916173,0.9075260309888296
ay,97883,314,97569,0.0032079114861620506,0.0008325627368713695,0.020964941982402858,0.25953419864070143,0.1328020214077958,0.9943483508716398
ba,97883,109,97774,0.0011135743694002023,0.0005357184684913333,0.019103446073304137,0.4810800995535522,0.4919782474015336,0.9953101201447356
babe,97883,1737,96146,0.017745675960074783,0.002790976954733079,0.02872750641917222,0.15727645207837532,0.1030575533499116,0.913449328321309
babi,97883,13113,84770,0.13396606152242985,0.01947404351072057,0.07157984641361342,0.14536549995880896,0.0930616017836197,0.9948818543510788
