genre,n_valid_windows,mean_relative_position,median_relative_position,mean_absolute_relative_position,feature
alternative rock,37,-0.1409130168813933,-0.13425011729932745,0.1409130168813933,love
ambient,43,-0.35113592102779007,-0.3451440678971847,0.35113592102779,love
black metal,36,-0.3719583223415476,-0.36384282850505983,0.3719583223415477,love
blues,61,0.06248917621302177,0.05925273057072599,0.11062224965478493,love
bossa nova,54,0.31471458030201327,0.3225656450463739,0.35202638788466417,love
brazilian rock,34,-0.007931605514213695,-0.017656582033672194,0.1178530237207829,love
classic rock,61,0.14272754115863032,0.1632100018356906,0.18258296871795462,love
country,53,0.14545263110039575,0.11092938942368856,0.16768629896131912,love
death metal,33,-0.3890998146334406,-0.38205243795890176,0.3890998146334406,love
disco,46,0.4255524831186481,0.4285503915771753,0.4255524831186482,love
doom metal,33,-0.2845233412715969,-0.2747477665455726,0.2845233412715969,love
dream pop,34,2.5002713749187454e-05,-0.04295256449303698,0.12961086141029043,love
easy listening,47,0.5782294116517327,0.5542184270191811,0.5783159511327615,love
electronic,45,-0.14269818605224832,-0.06416342340942345,0.17023615182357063,love
experimental,52,-0.18184084923723925,-0.1932529636201385,0.18434832652633398,love
folk,57,-0.0010640379015276465,-0.004326386007877066,0.14526233706723887,love
funk,51,0.14400545076151094,0.12241044710798972,0.17844549519231978,love
glam rock,39,0.1038254430619007,0.08370778132269532,0.1579707621206262,love
gothic rock,34,-0.036873322867670276,-0.04531237204333474,0.16919827025395442,love
grunge,32,-0.13275750401013883,-0.12789424364745047,0.13700376672784698,love
hard rock,51,-0.027625283635448507,-0.026655197542478696,0.10508094278214429,love
hardcore,39,-0.30128448836555943,-0.31229172770059577,0.3012844883655594,love
hardcore punk,32,-0.28340759992717796,-0.2840007887073781,0.283407599927178,love
indie rock,33,-0.14191067929343087,-0.10816372268406853,0.14191067929343085,love
industrial,35,-0.24725745164622154,-0.23257144624997475,0.24725745164622154,love
jazz,61,0.07640580121021542,0.09013215336333873,0.15801591773527018,love
latin,40,0.47791578934901696,0.5778880339196046,0.5462930674800726,love
metal,48,-0.267980456566982,-0.2888420108929536,0.2755583205642177,love
mpb,53,0.22595842695199136,0.23864925165604534,0.22949859600645547,love
new wave,43,0.061506470494616196,0.03602740731392757,0.1465735864311894,love
pop,57,0.32911322513058044,0.33673693185010567,0.3299381256810226,love
pop rock,32,0.17342919876546592,0.10403831645911026,0.18011431871045622,love
post-hardcore,35,-0.2775235903964695,-0.23184263326244808,0.2775235903964695,love
post-punk,43,-0.13542277112024484,-0.1591436932659617,0.13693877780292674,love
power metal,34,-0.29852233258193595,-0.31490333872020915,0.29852233258193595,love
progressive metal,32,-0.30428486977789704,-0.3027081166083268,0.30428486977789704,love
progressive rock,53,-0.15881870173338586,-0.16874482656070203,0.17485130388602674,love
psychedelic rock,48,-0.22818631052080648,-0.22806072737157257,0.2292837508243477,love
punk,47,-0.24397274178633852,-0.2258870198617372,0.24397274178633846,love
rap,32,-0.19130570021120066,-0.154648472442378,0.19130570021120066,love
reggae,42,0.1397394906525761,0.11852765612098108,0.24463887922276045,love
rock,61,0.06317368295220595,-0.00653873455557378,0.15322999284321057,love
samba,42,0.21970319142947006,0.19202988798149473,0.25785869366248243,love
shoegaze,35,-0.1816521784494491,-0.18825112932069346,0.18769003377959204,love
singer-songwriter,56,-0.005837659347286327,0.009528445013149521,0.10258257068892436,love
