feature,n_tracks,n_nonzero_tracks,n_zero_tracks,nonzero_share,mean_tfidf,std_tfidf,mean_nonzero_tfidf,median_nonzero_tfidf,max_tfidf,temporal_std,first_window_value,last_window_value,last_minus_first,absolute_last_minus_first,linear_trend,absolute_linear_trend
abl,97883,1010,96873,0.010318441404533984,0.0015406976728849482,0.018516699291965023,0.1493149607079182,0.12210050016579,0.8994954806884735,0.0004651992150228558,0.0004414274158730082,0.0015459991913230062,0.001104571775449998,0.001104571775449998,2.0789450040081333e-05,2.0789450040081333e-05
accept,97883,898,96985,0.00917421819927873,0.0013728127025593615,0.017765638314401373,0.14963811332362806,0.11802579459594795,0.9812319409137618,0.00040873879256761534,0.0,0.0016432983779581033,0.0016432983779581033,0.0016432983779581033,1.785739091532568e-05,1.785739091532568e-05
across,97883,2176,95707,0.022230622273530645,0.002661166159990665,0.021616342081190842,0.11970722759116095,0.09977315446923725,0.770744330525168,0.0010421538401068342,0.0028443589965789873,0.002089647902924155,-0.0007547110936548321,0.0007547110936548321,-9.25809372009326e-06,9.25809372009326e-06
act,97883,2296,95587,0.023456575707732703,0.002422380814664448,0.02014997214423997,0.10327086292761331,0.0793129221582401,0.8695600959966461,0.0005963574373432492,0.0004758156458284593,0.0029166730108813516,0.0024408573650528923,0.0024408573650528923,2.0271535873478264e-05,2.0271535873478264e-05
addict,97883,769,97114,0.007856318257511518,0.0011767692546723113,0.018421273520120664,0.149786352347321,0.0996983263795507,0.967883807349859,0.0004807654103883387,0.0005826749804806245,0.0016260032269988177,0.0010433282465181933,0.0010433282465181933,2.3060908747916076e-05,2.3060908747916076e-05
afraid,97883,3150,94733,0.03218127764780401,0.004151676179228878,0.029760714544223774,0.12900905379411434,0.09528914171940281,0.8880336173550964,0.0009913604391789922,0.0010590169330556827,0.004713695998564798,0.0036546790655091156,0.0036546790655091156,4.670434280719244e-05,4.670434280719244e-05
age,97883,1416,96467,0.01446625052358428,0.0020410070829013642,0.021414350826532154,0.1410874973839225,0.11013618384378296,0.8079366768511863,0.00045906225485029385,0.0016064339953840616,0.0020501921116071534,0.00044375811622309174,0.00044375811622309174,8.024452028457073e-06,8.024452028457073e-06
ago,97883,1342,96541,0.013710245905826344,0.0017579131897312809,0.01833774728433985,0.12821893945638374,0.10247537268250885,0.7121900183334271,0.0009490374606987937,0.0015945830706064945,0.001561538368918935,-3.304470168755949e-05,3.304470168755949e-05,-1.8203635211688382e-05,1.8203635211688382e-05
ah,97883,2359,95524,0.02410020126068878,0.004902118135175176,0.045008880934146574,0.20340569284669427,0.1167275216348696,0.991431129597608,0.0021610876218322037,0.0025966253740364225,0.0050881255813325565,0.002491500207296134,0.002491500207296134,-6.129845388453622e-05,6.129845388453622e-05
ahead,97883,1359,96524,0.013883922642338302,0.0018144890912299755,0.01984122809271051,0.13068994533985553,0.0990284795841366,0.9239673765471268,0.00034715535629296316,0.0019049367456091691,0.001969813096542829,6.487635093365969e-05,6.487635093365969e-05,-2.8456169372956656e-06,2.8456169372956656e-06
ahh,97883,395,97488,0.0040354300542484395,0.0008509018709311394,0.018839081434365,0.21085779198063972,0.1256362286460355,0.9433696187810824,0.0003339889330387431,0.0,0.000814467831879421,0.000814467831879421,0.000814467831879421,1.2455718989494152e-05,1.2455718989494152e-05
air,97883,3916,93967,0.04000694706946048,0.0046991614463296385,0.030772725183859484,0.11745863632560881,0.08964031227908059,0.9686109269249972,0.0012586266781427775,0.005819282487264149,0.004546175569677399,-0.0012731069175867492,0.0012731069175867492,3.798471000327649e-05,3.798471000327649e-05
aliv,97883,3787,94096,0.03868904712769327,0.005307083247871447,0.03670913687725945,0.13717275668111986,0.0947136913685737,0.9440494921083152,0.0017107406551335805,0.0008158532718165056,0.0060683262998606664,0.005252473028044161,0.005252473028044161,8.681872747382744e-05,8.681872747382744e-05
almost,97883,1752,96131,0.01789892013935004,0.002459257844878996,0.02455929022919827,0.1373969952227687,0.0990464720029274,0.9378156257309674,0.0004513310399494363,0.0004211647873721645,0.0025461965774771066,0.0021250317901049423,0.0021250317901049423,1.3189515784590038e-05,1.3189515784590038e-05
alon,97883,10244,87639,0.10465555816638232,0.011210385287005045,0.046384210193429844,0.10711696046933958,0.07395831392211824,0.9729912188515636,0.0014870591214138382,0.014313521629373058,0.011668502733327988,-0.0026450188960450705,0.0026450188960450705,4.925928334951655e-05,4.925928334951655e-05
along,97883,3156,94727,0.03224257531951411,0.0037809688071068787,0.02688623196782393,0.11726634022371439,0.08905056870534764,0.8758656731517591,0.0015017967408074281,0.009373852263683735,0.003236494503544463,-0.006137357760139272,0.006137357760139272,-5.852820169013407e-05,5.852820169013407e-05
alreadi,97883,3781,94102,0.038627749455983164,0.004813968607837291,0.031116828383365547,0.12462462027001786,0.0938654175689123,0.9581978878670836,0.0014588947233906866,0.0,0.006232928465644324,0.006232928465644324,0.006232928465644324,7.367098464213304e-05,7.367098464213304e-05
alright,97883,3141,94742,0.032089331140238854,0.005033818785655702,0.039428181058475634,0.15686892206187109,0.0973707560177885,0.9683149486390904,0.001386266118336897,0.0011431731666732895,0.005029381875686266,0.0038862087090129763,0.0038862087090129763,1.7598686004637238e-05,1.7598686004637238e-05
also,97883,941,96942,0.009613518179867801,0.0013003066491823494,0.015940893758009427,0.1352581463782316,0.1126772439878062,0.8281830024519395,0.0004755058080418175,0.0,0.0014382434790892826,0.0014382434790892826,0.0014382434790892826,1.0551513688517966e-05,1.0551513688517966e-05
although,97883,895,96988,0.009143569363423679,0.0012651008787383758,0.0159839882047904,0.1383596305179312,0.1078554765223973,0.6856706298219922,0.0002582475178172203,0.0011050012261529833,0.001283233943679508,0.0001782327175265247,0.0001782327175265247,-3.497337717443402e-06,3.497337717443402e-06
alway,97883,13131,84752,0.13414995453756015,0.013429069774532556,0.048255785861907985,0.10010491483821264,0.0694545672831903,0.9631101508940731,0.0025192087203585664,0.01046678131892813,0.014337133662737424,0.003870352343809294,0.003870352343809294,0.00012850228827602838,0.00012850228827602838
angel,97883,2447,95436,0.024999233779103625,0.003953556615872904,0.03385434414680362,0.15814711165978237,0.1081572105362075,0.9866415883134622,0.0018821863495796292,0.0005575421886586749,0.0030436830249366423,0.0024861408362779674,0.0024861408362779674,6.539528939992603e-05,6.539528939992603e-05
anim,97883,880,97003,0.008990325184148423,0.0016143649905936664,0.023482911823398137,0.17956691860713622,0.12081499195967116,0.9709731539724558,0.0006740343098026086,0.0,0.001893333475273965,0.001893333475273965,0.001893333475273965,2.8593695431780185e-05,2.8593695431780185e-05
anoth,97883,8197,89686,0.08374283583461888,0.00916402339079558,0.04210283918158606,0.10943053575225616,0.0764277506774111,0.9647695080962918,0.0014300391190865745,0.004875223401850821,0.009044910788187128,0.004169687386336307,0.004169687386336307,3.1466482527723046e-05,3.1466482527723046e-05
answer,97883,2800,95083,0.028605580131381342,0.0034601557482463034,0.026067645876695338,0.12096086610914032,0.09050333040286146,0.8890006429286642,0.0007436812267694493,0.0014951979940617261,0.003482101481431671,0.0019869034873699447,0.0019869034873699447,2.04009443660973e-05,2.04009443660973e-05
anybodi,97883,780,97103,0.007968697322313374,0.0013984525255237594,0.02106724409103189,0.17549324173825917,0.118871390886667,1.0,0.0004257751080296356,0.000497631787800512,0.0013724062804074974,0.0008747744926069854,0.0008747744926069854,7.540278009928949e-06,7.540278009928949e-06
anymor,97883,4072,93811,0.041600686533923154,0.006214488407248414,0.03978241181917819,0.14938427523740092,0.10576709132585645,0.9365533464108168,0.001515639986021771,0.00014293024781602659,0.0068423324822887675,0.006699402234472741,0.006699402234472741,7.71900007015238e-05,7.71900007015238e-05
anyon,97883,2166,95717,0.022128459487347138,0.0030916750574039374,0.02682243922117329,0.1397148797986471,0.10181970796477405,0.9349218652226738,0.0008291410853686789,0.0006419707679206847,0.003186243921544674,0.002544273153623989,0.002544273153623989,1.8527825126965693e-05,1.8527825126965693e-05
anyth,97883,4531,93352,0.04628995841974602,0.0057374287348993585,0.03531755989123956,0.12394542857165171,0.0866796498778901,0.961560781020896,0.0013069472711146413,0.003953931942046119,0.005897947515809682,0.001944015573763563,0.001944015573763563,5.7930163438499255e-05,5.7930163438499255e-05
anyway,97883,1434,96449,0.014650143538714588,0.002132621242080672,0.023099484605941474,0.1455699895666544,0.10626769894443765,0.8525499534446505,0.0006723492740779491,0.0,0.0021734345198066345,0.0021734345198066345,0.0021734345198066345,1.7744567980556168e-05,1.7744567980556168e-05
anywher,97883,892,96991,0.009112920527568628,0.0014875575321468312,0.020274487415116768,0.16323609183758775,0.1218618571941904,0.8892013093951805,0.0003707950215467422,0.0,0.001248469895795454,0.001248469895795454,0.001248469895795454,-4.592062815770771e-06,4.592062815770771e-06
apart,97883,3343,94540,0.03415301942114565,0.004155508001677632,0.0281301860486623,0.12167322456721855,0.0917418028058664,0.8692573682552627,0.0011419757121444408,0.002646852172469139,0.004143213152521425,0.0014963609800522858,0.0014963609800522858,5.1596638331485115e-05,5.1596638331485115e-05
appear,97883,966,96917,0.009868925145326564,0.0013696917917483265,0.01640278224717731,0.13878834539513607,0.11595968185825509,0.7661572394400197,0.00044362529356465567,0.0031077922741615843,0.0012429294940912404,-0.001864862780070344,0.001864862780070344,-8.847227527091508e-06,8.847227527091508e-06
arm,97883,4328,93555,0.04421605386022088,0.0051719541568513334,0.03160241246065971,0.11697005285006448,0.08727967920884865,0.9096541181719744,0.0009384614527350422,0.00739431537490607,0.0042517094310282975,-0.0031426059438777725,0.0031426059438777725,-1.185579833018757e-05,1.185579833018757e-05
around,97883,12672,85211,0.12946068265173727,0.011822158957327045,0.04308769220392199,0.09131852787405645,0.06423659357969325,0.9013741471373206,0.00149825178999439,0.01618690886402688,0.011264793530602538,-0.004922115333424343,0.004922115333424343,2.2246557111936347e-06,2.2246557111936347e-06
arriv,97883,1558,96325,0.015916962087390046,0.0023424578034255674,0.02321235595374396,0.14716739228029835,0.1158797047005696,0.919755177410755,0.0007386494448299426,0.0,0.0024962702067504792,0.0024962702067504792,0.0024962702067504792,1.8482968765209302e-05,1.8482968765209302e-05
