window_start,window_end,window_label,n_tracks,major_share
1955,1959,1955_1959,327,0.7033639143730887
1956,1960,1956_1960,360,0.675
1957,1961,1957_1961,336,0.6845238095238095
1958,1962,1958_1962,341,0.7126099706744868
1959,1963,1959_1963,375,0.7066666666666667
1960,1964,1960_1964,444,0.7522522522522522
1961,1965,1961_1965,635,0.75748031496063
1962,1966,1962_1966,815,0.7447852760736197
1963,1967,1963_1967,1131,0.7409372236958444
1964,1968,1964_1968,1386,0.7518037518037518
1965,1969,1965_1969,1645,0.7428571428571429
1966,1970,1966_1970,1940,0.7422680412371134
1967,1971,1967_1971,2179,0.7430013767783387
1968,1972,1968_1972,2282,0.7440841367221736
1969,1973,1969_1973,2460,0.7361788617886179
1970,1974,1970_1974,2507,0.7287594734742721
1971,1975,1971_1975,2396,0.7237061769616027
1972,1976,1972_1976,2362,0.7116850127011007
1973,1977,1973_1977,2400,0.7029166666666666
1974,1978,1974_1978,2393,0.6924362724613455
1975,1979,1975_1979,2569,0.6843129622421176
1976,1980,1976_1980,2694,0.6844840386043058
1977,1981,1977_1981,2798,0.6794138670478913
1978,1982,1978_1982,2845,0.6727592267135325
1979,1983,1979_1983,2827,0.6742129465864874
1980,1984,1980_1984,2822,0.669029057406095
1981,1985,1981_1985,2895,0.6625215889464594
1982,1986,1982_1986,2997,0.665331998665332
1983,1987,1983_1987,3140,0.6694267515923567
1984,1988,1984_1988,3221,0.6727724309220738
1985,1989,1985_1989,3314,0.6780325890162945
1986,1990,1986_1990,3392,0.6851415094339622
1987,1991,1987_1991,3597,0.6919655268279121
1988,1992,1988_1992,3732,0.6883708467309754
1989,1993,1989_1993,4074,0.6865488463426608
1990,1994,1990_1994,4420,0.6816742081447964
1991,1995,1991_1995,4952,0.6771001615508885
1992,1996,1992_1996,5152,0.6698369565217391
1993,1997,1993_1997,5427,0.6731159019716234
1994,1998,1994_1998,5670,0.6585537918871253
1995,1999,1995_1999,5943,0.6599360592293454
1996,2000,1996_2000,6086,0.6464015773907328
1997,2001,1997_2001,6817,0.6398709109578994
1998,2002,1998_2002,7542,0.6316626889419252
1999,2003,1999_2003,8403,0.6327502082589551
2000,2004,2000_2004,9163,0.6232674888137073
2001,2005,2001_2005,10389,0.6241216671479449
2002,2006,2002_2006,11180,0.6190518783542039
2003,2007,2003_2007,12419,0.616072147515903
2004,2008,2004_2008,13060,0.6154670750382848
2005,2009,2005_2009,14187,0.6198632550926905
2006,2010,2006_2010,14895,0.6205438066465256
2007,2011,2007_2011,16278,0.6239095712003931
2008,2012,2008_2012,17037,0.621294828901802
2009,2013,2009_2013,18964,0.6176439569711032
2010,2014,2010_2014,20411,0.6119739356229484
2011,2015,2011_2015,21906,0.6064092029580936
2012,2016,2012_2016,23773,0.6008917679720691
2013,2017,2013_2017,26974,0.5966486246014681
2014,2018,2014_2018,31503,0.5953083833285718
2015,2019,2015_2019,30131,0.5953668978792606
