genre,window_start,window_end,window_label,n_tracks,danceability,energy,key,mode,valence,tempo,duration_ms,eligible_window
alternative rock,1979,1983,1979_1983,30,0.47100000000000003,0.6744066666666666,4.533333333333333,0.7333333333333333,0.65735,136.80223333333333,227990.26666666666,True
alternative rock,1980,1984,1980_1984,44,0.47347727272727275,0.6685175,5.181818181818182,0.7045454545454546,0.6590568181818182,135.42784090909092,217900.61363636365,True
alternative rock,1981,1985,1981_1985,55,0.46323636363636367,0.677414,5.327272727272727,0.7090909090909091,0.6266363636363637,135.77914545454544,207164.9090909091,True
alternative rock,1982,1986,1982_1986,60,0.45695,0.6845128333333333,5.516666666666667,0.7333333333333333,0.6265166666666667,136.23915,209528.05,True
alternative rock,1983,1987,1983_1987,79,0.48106329113924046,0.6868958227848101,5.493670886075949,0.6835443037974683,0.6088658227848102,131.43353164556962,208251.11392405065,True
alternative rock,1984,1988,1984_1988,66,0.46991363636363637,0.7238722727272727,5.621212121212121,0.7121212121212122,0.5698469696969698,129.8333787878788,198457.33333333334,True
alternative rock,1985,1989,1985_1989,64,0.4711921875,0.747046875,5.484375,0.703125,0.5204484375,128.402890625,201739.984375,True
alternative rock,1986,1990,1986_1990,76,0.4778197368421053,0.7454078947368421,5.552631578947368,0.6973684210526315,0.5332447368421053,124.94626315789473,208717.42105263157,True
alternative rock,1987,1991,1987_1991,125,0.4835224,0.7178592,5.712,0.72,0.5309224,121.799424,222862.16,True
alternative rock,1988,1992,1988_1992,140,0.46998071428571436,0.7182314285714286,5.5928571428571425,0.7714285714285715,0.5080571428571429,123.62230714285714,224855.5,True
alternative rock,1989,1993,1989_1993,175,0.47212571428571426,0.6827337142857143,5.622857142857143,0.7771428571428571,0.49455485714285713,122.44959428571428,230931.17142857143,True
alternative rock,1990,1994,1990_1994,222,0.4631981981981982,0.6703891891891892,5.536036036036036,0.7792792792792793,0.4799310810810811,121.51062612612613,237201.1036036036,True
alternative rock,1991,1995,1991_1995,279,0.4608444444444445,0.6655498207885304,5.397849462365591,0.7813620071684588,0.4567982078853047,122.6448494623656,245206.76702508962,True
alternative rock,1992,1996,1992_1996,307,0.46096612377850166,0.6768045602605863,5.156351791530945,0.7719869706840391,0.4578364820846906,123.34992833876221,244268.87622149836,True
alternative rock,1993,1997,1993_1997,336,0.4609541666666667,0.6831696428571428,5.0625,0.7678571428571429,0.45363035714285715,121.3616607142857,246731.77380952382,True
alternative rock,1994,1998,1994_1998,389,0.4676107969151671,0.6996709511568124,5.290488431876606,0.7352185089974294,0.4514280205655527,121.71094344473008,250228.15167095116,True
alternative rock,1995,1999,1995_1999,426,0.47245915492957746,0.7152347417840376,5.223004694835681,0.704225352112676,0.4538016431924883,120.91991079812206,244770.36384976527,True
alternative rock,1996,2000,1996_2000,455,0.48106813186813185,0.7233010989010988,5.364835164835164,0.6879120879120879,0.4603912087912088,120.67204395604395,241592.54505494505,True
alternative rock,1997,2001,1997_2001,479,0.4819248434237996,0.7160584551148226,5.38830897703549,0.6743215031315241,0.4398590814196242,121.27978705636743,241465.31941544884,True
alternative rock,1998,2002,1998_2002,503,0.4824254473161034,0.7173335984095428,5.506958250497018,0.6640159045725647,0.42527554671968193,122.6040477137177,241550.31212723657,True
alternative rock,1999,2003,1999_2003,528,0.47840719696969697,0.7272382575757577,5.2727272727272725,0.6496212121212122,0.419011553030303,124.21088636363636,237536.01325757575,True
alternative rock,2000,2004,2000_2004,518,0.4728204633204633,0.7377158301158301,5.359073359073359,0.6428571428571429,0.4134287644787645,127.86930501930503,239153.69111969112,True
alternative rock,2001,2005,2001_2005,551,0.4703139745916516,0.7381176043557169,5.2250453720508165,0.631578947368421,0.4022709618874773,129.07376950998184,238164.58076225047,True
alternative rock,2002,2006,2002_2006,602,0.4694784053156146,0.7679764119601329,5.370431893687708,0.6112956810631229,0.4051921926910299,130.8323172757475,236985.707641196,True
alternative rock,2003,2007,2003_2007,656,0.472077743902439,0.7692850609756098,5.239329268292683,0.6219512195121951,0.41864070121951225,132.2428048780488,235087.33079268291,True
alternative rock,2004,2008,2004_2008,653,0.4714012251148545,0.7688728943338439,5.28177641653905,0.6385911179173047,0.4201346094946401,132.5893124042879,233723.5329249617,True
alternative rock,2005,2009,2005_2009,741,0.4776603238866397,0.7681821862348177,5.161943319838056,0.650472334682861,0.4208993252361673,132.79342105263157,234643.13900134954,True
alternative rock,2006,2010,2006_2010,717,0.47708967921896794,0.7844504881450488,5.186889818688982,0.6596931659693166,0.4207775453277545,132.60267782426777,235087.2649930265,True
alternative rock,2007,2011,2007_2011,738,0.4783378048780488,0.771269647696477,5.117886178861789,0.6666666666666666,0.41267208672086725,130.1540027100271,236374.1192411924,True
alternative rock,2008,2012,2008_2012,757,0.47819418758256277,0.7750647291941877,5.2298546895640685,0.6393659180977543,0.4112760898282695,129.48712681638045,235402.95904887715,True
alternative rock,2009,2013,2009_2013,793,0.4802988650693569,0.780046658259773,5.281210592686002,0.6330390920554855,0.4153964691046658,129.15229508196722,237033.44766708702,True
alternative rock,2010,2014,2010_2014,751,0.47832982689747006,0.7800039946737684,5.360852197070573,0.6324900133155792,0.41390905459387484,127.38597470039946,237703.13848202396,True
alternative rock,2011,2015,2011_2015,769,0.4770256176853056,0.7678686605981795,5.2990897269180754,0.6176853055916776,0.4107665799739922,127.88786085825748,239914.7022106632,True
alternative rock,2012,2016,2012_2016,684,0.4754045321637427,0.7701125730994152,5.428362573099415,0.6111111111111112,0.4126040935672515,128.8487192982456,239673.22660818713,True
alternative rock,2013,2017,2013_2017,678,0.4704380530973451,0.7587699115044249,5.5294985250737465,0.6032448377581121,0.3952514749262537,127.1823126843658,239498.90707964601,True
alternative rock,2014,2018,2014_2018,682,0.4783958944281525,0.747438504398827,5.542521994134898,0.5821114369501467,0.39335058651026394,126.32785483870967,237646.42082111436,True
alternative rock,2015,2019,2015_2019,605,0.4825669421487603,0.7388612561983471,5.5041322314049586,0.5702479338842975,0.3920609917355372,125.68345454545455,235396.27272727274,True
ambient,1971,1975,1971_1975,20,0.34395,0.32027449999999996,3.4,0.65,0.18106,117.3463,510302.3,True
ambient,1972,1976,1972_1976,22,0.34354545454545454,0.3156131818181818,3.272727272727273,0.6363636363636364,0.1928,127.63554545454545,498392.7727272727,True
ambient,1973,1977,1973_1977,35,0.3581028571428571,0.2971082857142857,4.3428571428571425,0.6285714285714286,0.1923,125.14365714285715,382747.02857142856,True
ambient,1974,1978,1974_1978,36,0.3429888888888889,0.2897997222222222,4.388888888888889,0.6388888888888888,0.1923888888888889,122.13358333333333,400221.97222222225,True
ambient,1975,1979,1975_1979,34,0.3610764705882353,0.29838794117647055,4.764705882352941,0.6176470588235294,0.20105,124.77035294117647,345515.9411764706,True
ambient,1976,1980,1976_1980,25,0.3644,0.32169600000000004,5.16,0.56,0.22547599999999998,128.40264,335215.36,True
ambient,1977,1981,1977_1981,23,0.3620434782608696,0.30973913043478263,5.826086956521739,0.6086956521739131,0.2173695652173913,117.8455652173913,294059.26086956525,True
ambient,1980,1984,1980_1984,28,0.3062107142857143,0.2995403571428571,5.535714285714286,0.75,0.2084892857142857,102.52253571428571,313551.5,True
ambient,1981,1985,1981_1985,31,0.30056451612903223,0.31793967741935486,5.290322580645161,0.7741935483870968,0.2132516129032258,103.45490322580645,306156.1935483871,True
ambient,1982,1986,1982_1986,34,0.32030882352941176,0.3367764705882353,5.205882352941177,0.7352941176470589,0.24471176470588235,102.72067647058824,297170.23529411765,True
ambient,1983,1987,1983_1987,43,0.3474302325581395,0.3607339534883721,4.744186046511628,0.5813953488372093,0.24285813953488372,101.2763488372093,274881.27906976745,True
ambient,1984,1988,1984_1988,51,0.3313745098039215,0.32949039215686277,4.803921568627451,0.5490196078431373,0.21882156862745097,102.51570588235295,274971.7843137255,True
ambient,1985,1989,1985_1989,35,0.3033742857142857,0.2636948571428571,4.428571428571429,0.5142857142857142,0.1684342857142857,98.27425714285715,252452.6,True
ambient,1986,1990,1986_1990,48,0.33710625,0.2899566666666667,4.020833333333333,0.4791666666666667,0.21219791666666665,100.57470833333333,241850.27083333334,True
ambient,1987,1991,1987_1991,64,0.3321578125,0.27616953125,4.078125,0.59375,0.20864531249999999,106.758484375,272062.71875,True
ambient,1988,1992,1988_1992,67,0.39502388059701493,0.3429276119402985,4.6716417910447765,0.5970149253731343,0.2414582089552239,114.04616417910448,302174.5970149254,True
ambient,1989,1993,1989_1993,88,0.44485909090909087,0.43696772727272726,5.045454545454546,0.6477272727272727,0.2652863636363636,117.9849659090909,341156.82954545453,True
ambient,1990,1994,1990_1994,123,0.4366146341463415,0.4485663414634146,5.235772357723577,0.5853658536585366,0.26245447154471546,119.31987804878048,352818.89430894307,True
ambient,1991,1995,1991_1995,143,0.4738951048951049,0.4857556643356643,5.146853146853147,0.6293706293706294,0.27111118881118884,119.79644755244755,366522.04195804195,True
ambient,1992,1996,1992_1996,159,0.4943660377358491,0.5189827672955974,5.377358490566038,0.559748427672956,0.2908911949685535,119.87858490566038,369799.90566037735,True
ambient,1993,1997,1993_1997,159,0.4761396226415094,0.49901861635220124,5.327044025157233,0.5471698113207547,0.2818050314465409,119.76442767295599,384100.8238993711,True
ambient,1994,1998,1994_1998,165,0.48171939393939395,0.4864484848484848,5.218181818181818,0.4909090909090909,0.2864660606060606,118.46441212121212,358810.7272727273,True
ambient,1995,1999,1995_1999,179,0.4835402234636872,0.446984469273743,5.245810055865922,0.5418994413407822,0.28173184357541897,116.16565363128491,339467.6089385475,True
ambient,1996,2000,1996_2000,184,0.46294402173913046,0.43551967391304347,5.717391304347826,0.5163043478260869,0.26634728260869567,116.52005434782608,337980.3804347826,True
ambient,1997,2001,1997_2001,218,0.4521770642201835,0.4245677155963303,5.8807339449541285,0.5229357798165137,0.24996513761467892,113.52120642201835,327238.2018348624,True
ambient,1998,2002,1998_2002,277,0.4466920577617329,0.44371939350180506,5.617328519855596,0.5595667870036101,0.2598104693140794,111.22718050541516,299219.96750902524,True
ambient,1999,2003,1999_2003,296,0.42114797297297296,0.4248598040540541,5.655405405405405,0.5878378378378378,0.23564628378378377,109.13167567567567,321256.5675675676,True
ambient,2000,2004,2000_2004,297,0.401379797979798,0.43218906397306395,5.397306397306397,0.569023569023569,0.21915858585858589,109.34544107744108,321765.0808080808,True
ambient,2001,2005,2001_2005,370,0.38354621621621626,0.4174019513513514,5.286486486486487,0.5837837837837838,0.2073072972972973,110.1356108108108,309787.72702702705,True
ambient,2002,2006,2002_2006,393,0.37208600508905854,0.41806992366412216,5.208651399491094,0.5776081424936387,0.19267480916030533,111.2132340966921,305740.7633587786,True
ambient,2003,2007,2003_2007,419,0.3444758949880668,0.39131023866348447,5.066825775656325,0.5966587112171837,0.16574868735083534,111.61977565632459,323254.63484486873,True
ambient,2004,2008,2004_2008,428,0.35759205607476635,0.39577623831775705,4.955607476635514,0.5911214953271028,0.18214696261682242,113.35020794392524,304425.95560747664,True
ambient,2005,2009,2005_2009,480,0.36702937500000005,0.40345562500000004,5.04375,0.5770833333333333,0.19401,113.16502291666667,310070.2,True
ambient,2006,2010,2006_2010,455,0.3660285714285714,0.40250312087912093,5.103296703296703,0.5626373626373626,0.1905769230769231,112.45955604395604,312086.9692307692,True
ambient,2007,2011,2007_2011,546,0.36834652014652014,0.3956192307692308,4.965201465201465,0.5860805860805861,0.18735824175824176,110.9422509157509,299241.9597069597,True
ambient,2008,2012,2008_2012,552,0.388513768115942,0.4041675543478261,5.094202898550725,0.5507246376811594,0.195784981884058,110.66990398550725,287769.5018115942,True
ambient,2009,2013,2009_2013,662,0.37761117824773416,0.39944460725075526,5.108761329305136,0.5438066465256798,0.18124095166163143,110.65990634441087,294970.9818731118,True
ambient,2010,2014,2010_2014,716,0.37843435754189947,0.3893058659217877,5.157821229050279,0.5670391061452514,0.17098087988826816,109.99986173184357,316103.89245810057,True
ambient,2011,2015,2011_2015,742,0.3914943396226415,0.3884075795148248,5.123989218328841,0.568733153638814,0.17953128032345014,110.74592991913747,313568.2897574124,True
ambient,2012,2016,2012_2016,720,0.41141333333333335,0.39405334583333335,5.126388888888889,0.5722222222222222,0.20999681944444445,111.92268750000001,307490.9888888889,True
ambient,2013,2017,2013_2017,778,0.41169755784061696,0.3867476491002571,5.083547557840617,0.5732647814910026,0.21372017994858614,112.33670179948585,298421.07197943446,True
ambient,2014,2018,2014_2018,827,0.4276720677146312,0.39587726844014515,4.954050785973398,0.5755743651753326,0.22589141475211608,112.42552720677148,298412.42563482467,True
ambient,2015,2019,2015_2019,734,0.43730640326975473,0.40308073705722075,4.870572207084469,0.555858310626703,0.23820422343324252,113.56070163487738,268939.2615803815,True
black metal,1980,1984,1980_1984,20,0.2358,0.78,4.95,0.65,0.253505,119.32755,210671.35,True
black metal,1981,1985,1981_1985,24,0.243375,0.8051666666666667,5.0,0.6666666666666666,0.2679625,120.663125,211460.04166666666,True
black metal,1982,1986,1982_1986,21,0.24757142857142855,0.81,4.857142857142857,0.6666666666666666,0.2997285714285714,120.90657142857143,220789.2380952381,True
black metal,1983,1987,1983_1987,32,0.26940625,0.842625,5.96875,0.65625,0.297059375,126.2594375,231745.40625,True
black metal,1984,1988,1984_1988,31,0.2685161290322581,0.8440645161290322,6.032258064516129,0.6451612903225806,0.2890935483870968,125.90016129032259,231572.4516129032,True
black metal,1985,1989,1985_1989,20,0.29925,0.8609,6.3,0.75,0.31638,125.29375,242347.95,True
black metal,1986,1990,1986_1990,22,0.3029227272727273,0.8192272727272727,6.681818181818182,0.7272727272727273,0.26283181818181817,125.41395454545454,309175.0909090909,True
black metal,1987,1991,1987_1991,31,0.2944935483870968,0.8211935483870968,6.258064516129032,0.7096774193548387,0.23459032258064513,124.49106451612903,311411.12903225806,True
black metal,1988,1992,1988_1992,31,0.23800967741935486,0.857,5.741935483870968,0.7096774193548387,0.13744516129032258,131.39009677419355,356153.06451612903,True
black metal,1989,1993,1989_1993,81,0.2245493827160494,0.8209240740740741,4.814814814814815,0.6666666666666666,0.1693901234567901,127.14016049382715,311259.7037037037,True
black metal,1990,1994,1990_1994,137,0.20427956204379563,0.8491164233576642,5.160583941605839,0.6058394160583942,0.13682189781021897,129.794700729927,323138.95620437956,True
black metal,1991,1995,1991_1995,155,0.21554838709677418,0.8487803225806451,5.103225806451613,0.5548387096774193,0.1407509677419355,128.75307096774193,318938.2322580645,True
black metal,1992,1996,1992_1996,170,0.21728235294117648,0.8294138235294117,5.076470588235294,0.5352941176470588,0.14995411764705882,127.48688823529412,318669.02352941176,True
black metal,1993,1997,1993_1997,180,0.21956444444444445,0.8265241666666666,4.938888888888889,0.48333333333333334,0.15789277777777777,125.91357777777777,317642.0777777778,True
black metal,1994,1998,1994_1998,139,0.22039424460431656,0.8321179856115108,5.093525179856115,0.4244604316546763,0.15164460431654678,126.54285611510791,326238.1798561151,True
black metal,1995,1999,1995_1999,113,0.26214070796460176,0.7922330088495575,4.663716814159292,0.415929203539823,0.1938504424778761,120.27130973451327,325439.407079646,True
black metal,1996,2000,1996_2000,104,0.25105961538461535,0.7974358653846154,4.423076923076923,0.4326923076923077,0.19044423076923078,120.95357692307692,320155.3173076923,True
black metal,1997,2001,1997_2001,112,0.2507125,0.8370458035714285,4.428571428571429,0.42857142857142855,0.16996785714285714,122.71482142857143,323460.66964285716,True
black metal,1998,2002,1998_2002,114,0.26347543859649125,0.8391765789473684,4.543859649122807,0.47368421052631576,0.15192105263157893,122.4894649122807,336673.0438596491,True
black metal,1999,2003,1999_2003,134,0.2669910447761194,0.8358047014925373,5.044776119402985,0.5,0.15287537313432834,122.05529850746268,340793.99253731343,True
black metal,2000,2004,2000_2004,147,0.26801972789115647,0.8625428571428572,5.292517006802721,0.5170068027210885,0.15878843537414966,121.3181088435374,329713.27210884355,True
black metal,2001,2005,2001_2005,157,0.2647343949044586,0.8559796178343949,5.286624203821656,0.5414012738853503,0.1520471337579618,120.32454140127389,335476.20382165606,True
black metal,2002,2006,2002_2006,171,0.27563801169590646,0.8424771929824562,5.39766081871345,0.5380116959064327,0.186893567251462,120.47122222222224,348486.2807017544,True
black metal,2003,2007,2003_2007,201,0.2715039800995025,0.8321616915422886,5.537313432835821,0.5522388059701493,0.1862626865671642,120.95973134328358,359802.36815920396,True
black metal,2004,2008,2004_2008,209,0.2705043062200957,0.8213205741626795,5.215311004784689,0.5598086124401914,0.17867416267942585,122.05364114832535,372149.6937799043,True
black metal,2005,2009,2005_2009,239,0.2714192468619247,0.7998322175732218,5.297071129707113,0.5690376569037657,0.15480753138075315,123.54068619246861,384016.07949790795,True
black metal,2006,2010,2006_2010,283,0.2737296819787986,0.8085791519434629,5.413427561837456,0.558303886925795,0.16062014134275618,123.74719081272086,391106.85159010603,True
black metal,2007,2011,2007_2011,278,0.27342374100719424,0.8015521582733813,5.5071942446043165,0.5719424460431655,0.13701546762589928,123.14385611510791,388327.05395683454,True
black metal,2008,2012,2008_2012,272,0.28167132352941177,0.8051492647058823,5.352941176470588,0.5772058823529411,0.14282132352941176,122.51141544117648,381731.36397058825,True
black metal,2009,2013,2009_2013,305,0.2840049180327869,0.8142311475409836,5.426229508196721,0.5704918032786885,0.14588786885245902,121.67849836065575,376474.56721311476,True
black metal,2010,2014,2010_2014,259,0.27915289575289576,0.8188864864864864,5.212355212355212,0.5714285714285714,0.1513127413127413,120.8645637065637,373660.26254826254,True
black metal,2011,2015,2011_2015,229,0.2763113537117904,0.8133650655021835,5.314410480349345,0.5720524017467249,0.14839301310043668,121.68924890829695,364976.36681222706,True
black metal,2012,2016,2012_2016,284,0.27701830985915493,0.8248869718309859,5.609154929577465,0.5880281690140845,0.14919049295774647,122.76716901408452,373339.36971830984,True
black metal,2013,2017,2013_2017,281,0.280620640569395,0.8302309608540925,5.729537366548043,0.5765124555160143,0.14746476868327404,123.6411565836299,376140.6548042705,True
black metal,2014,2018,2014_2018,335,0.28195044776119405,0.8478265671641791,5.665671641791045,0.5970149253731343,0.15163223880597015,125.84604776119403,362310.3940298507,True
black metal,2015,2019,2015_2019,337,0.2889759643916914,0.8470887240356084,5.741839762611276,0.6053412462908012,0.15665637982195846,126.40640652818992,359586.6646884273,True
blues,1955,1959,1955_1959,43,0.5222558139534884,0.30415116279069765,4.558139534883721,0.7906976744186046,0.4774302325581395,107.84781395348837,192094.23255813954,True
blues,1956,1960,1956_1960,53,0.5160566037735849,0.3328018867924528,4.471698113207547,0.7358490566037735,0.4978584905660377,107.9342075471698,187460.37735849057,True
blues,1957,1961,1957_1961,47,0.5200638297872341,0.35190425531914893,4.127659574468085,0.723404255319149,0.5237765957446808,106.99855319148936,182532.46808510637,True
blues,1958,1962,1958_1962,40,0.5410999999999999,0.4172975,4.85,0.7,0.63125,113.32335,172155.35,True
blues,1959,1963,1959_1963,29,0.5456551724137931,0.45927586206896553,5.275862068965517,0.6896551724137931,0.6517241379310345,110.87196551724138,169524.2068965517,True
blues,1960,1964,1960_1964,36,0.5371944444444444,0.4753861111111111,5.416666666666667,0.6666666666666666,0.6363416666666667,111.14719444444444,176803.80555555556,True
blues,1961,1965,1961_1965,55,0.5284727272727272,0.46004909090909096,5.709090909090909,0.7272727272727273,0.6193872727272727,114.98525454545455,194072.74545454545,True
blues,1962,1966,1962_1966,67,0.5126268656716418,0.45063134328358206,5.149253731343284,0.7611940298507462,0.5909656716417911,120.3199104477612,197872.6567164179,True
blues,1963,1967,1963_1967,86,0.5115813953488373,0.45764302325581396,5.523255813953488,0.7674418604651163,0.5687755813953488,119.13823255813955,198968.51162790696,True
blues,1964,1968,1964_1968,109,0.5084311926605505,0.4605440366972477,5.3577981651376145,0.7155963302752294,0.5757220183486239,119.88575229357798,216116.98165137615,True
blues,1965,1969,1965_1969,123,0.49933333333333335,0.45876016260162605,5.4471544715447155,0.6991869918699187,0.5646861788617886,121.98173983739838,229833.78861788617,True
blues,1966,1970,1966_1970,121,0.4984462809917355,0.48579999999999995,5.2809917355371905,0.71900826446281,0.573796694214876,121.10795041322314,247616.29752066114,True
blues,1967,1971,1967_1971,149,0.5117651006711409,0.49525436241610743,5.2885906040268456,0.7114093959731543,0.5822818791946309,119.03378523489933,245069.69798657717,True
blues,1968,1972,1968_1972,137,0.5061386861313868,0.5023240875912408,5.109489051094891,0.7299270072992701,0.5788671532846715,120.2697518248175,256879.7810218978,True
blues,1969,1973,1969_1973,146,0.506041095890411,0.510504109589041,4.9520547945205475,0.7876712328767124,0.5761972602739726,119.53617808219178,248996.32876712328,True
blues,1970,1974,1970_1974,142,0.5179507042253522,0.5123908450704225,4.767605633802817,0.8028169014084507,0.5740338028169014,118.48517605633803,242667.17605633804,True
blues,1971,1975,1971_1975,126,0.5242539682539682,0.5074634920634921,4.912698412698413,0.7857142857142857,0.5541650793650793,120.71060317460318,234526.9126984127,True
blues,1972,1976,1972_1976,103,0.5230776699029126,0.514278640776699,5.0,0.7766990291262136,0.5390757281553398,120.33380582524272,247515.66019417476,True
blues,1973,1977,1973_1977,106,0.530367924528302,0.49967169811320755,4.613207547169812,0.7830188679245284,0.538927358490566,120.13492452830188,248659.80188679244,True
blues,1974,1978,1974_1978,82,0.5443536585365853,0.4800036585365854,5.060975609756097,0.7439024390243902,0.5106865853658537,123.08565853658536,254927.3536585366,True
blues,1975,1979,1975_1979,69,0.557695652173913,0.4719898550724638,5.072463768115942,0.6956521739130435,0.5311492753623188,124.50194202898551,266174.652173913,True
blues,1976,1980,1976_1980,66,0.5532272727272727,0.44521666666666665,4.893939393939394,0.7121212121212122,0.5216863636363637,122.0680909090909,270778.3484848485,True
blues,1977,1981,1977_1981,47,0.5628510638297872,0.4262404255319149,4.8936170212765955,0.7021276595744681,0.5254531914893618,124.10172340425532,266695.78723404254,True
blues,1978,1982,1978_1982,34,0.5739117647058825,0.4336264705882353,5.5,0.6176470588235294,0.5713235294117647,125.57229411764705,259225.0588235294,True
blues,1979,1983,1979_1983,29,0.5565862068965518,0.48486206896551726,5.0,0.6206896551724138,0.6526896551724138,125.80662068965516,256712.4827586207,True
blues,1980,1984,1980_1984,25,0.5010800000000001,0.49495200000000006,5.4,0.68,0.59788,120.10068,276988.84,True
blues,1981,1985,1981_1985,32,0.562,0.51524375,5.28125,0.65625,0.6588125,121.65440625,239903.34375,True
blues,1982,1986,1982_1986,38,0.5716052631578947,0.5424736842105263,5.105263157894737,0.631578947368421,0.6767105263157894,125.12460526315789,246164.2105263158,True
blues,1983,1987,1983_1987,50,0.5515,0.473142,4.96,0.58,0.5913,124.67432000000001,239177.62,True
blues,1984,1988,1984_1988,48,0.5671458333333333,0.45902291666666667,5.166666666666667,0.5833333333333334,0.5748125000000001,123.722,238114.54166666666,True
blues,1985,1989,1985_1989,58,0.5760000000000001,0.46209655172413794,5.051724137931035,0.6379310344827587,0.5876724137931034,124.69901724137931,226647.1896551724,True
blues,1986,1990,1986_1990,54,0.5447592592592593,0.4509185185185185,4.592592592592593,0.6296296296296297,0.562637037037037,125.44427777777777,239153.64814814815,True
blues,1987,1991,1987_1991,52,0.54525,0.41896923076923076,4.846153846153846,0.6346153846153846,0.5279884615384616,122.47430769230769,235263.15384615384,True
blues,1988,1992,1988_1992,68,0.5612058823529411,0.41856617647058825,4.867647058823529,0.6176470588235294,0.5598147058823529,117.53639705882354,239398.1911764706,True
blues,1989,1993,1989_1993,75,0.5621866666666667,0.42178000000000004,4.626666666666667,0.64,0.5663786666666667,117.03762666666667,233260.70666666667,True
blues,1990,1994,1990_1994,71,0.5545492957746478,0.42291830985915496,4.704225352112676,0.6338028169014085,0.5460056338028169,119.22081690140845,242123.0985915493,True
blues,1991,1995,1991_1995,74,0.5628378378378378,0.4192568918918919,5.148648648648648,0.6621621621621622,0.5370756756756757,117.73914864864865,240741.52702702704,True
blues,1992,1996,1992_1996,77,0.5537792207792207,0.4102338961038961,5.207792207792208,0.6883116883116883,0.5382675324675325,117.17209090909091,241280.53246753247,True
blues,1993,1997,1993_1997,65,0.5521538461538462,0.4931663076923077,5.753846153846154,0.676923076923077,0.5500092307692307,118.33421538461539,258522.55384615384,True
blues,1994,1998,1994_1998,59,0.548135593220339,0.4916272881355932,5.711864406779661,0.6779661016949152,0.5377898305084746,116.98233898305084,272748.83050847455,True
blues,1995,1999,1995_1999,67,0.5518805970149253,0.47953746268656716,5.462686567164179,0.7164179104477612,0.5341731343283582,113.01213432835821,264824.19402985077,True
blues,1996,2000,1996_2000,66,0.5597727272727273,0.48641212121212124,5.318181818181818,0.6363636363636364,0.5322121212121211,113.33672727272727,264393.4696969697,True
blues,1997,2001,1997_2001,69,0.551536231884058,0.521640579710145,5.144927536231884,0.6666666666666666,0.5538695652173913,113.88221739130434,266490.05797101447,True
blues,1998,2002,1998_2002,95,0.5184842105263158,0.44357789473684206,4.578947368421052,0.7263157894736842,0.4858884210526316,110.47185263157894,238203.26315789475,True
blues,1999,2003,1999_2003,102,0.5157745098039216,0.4511441176470588,4.686274509803922,0.7352941176470589,0.4855627450980392,113.21625490196078,243609.431372549,True
blues,2000,2004,2000_2004,106,0.511811320754717,0.461827358490566,4.915094339622642,0.6886792452830188,0.48571132075471696,114.29828301886793,241883.3962264151,True
blues,2001,2005,2001_2005,111,0.5129459459459459,0.46846576576576576,4.81981981981982,0.7477477477477478,0.5040126126126127,113.99491891891891,241072.6126126126,True
blues,2002,2006,2002_2006,129,0.5234728682170543,0.4772302325581395,5.062015503875969,0.7054263565891473,0.5002480620155039,116.12671317829457,240158.92248062015,True
blues,2003,2007,2003_2007,114,0.5384649122807017,0.4890815789473684,5.412280701754386,0.7192982456140351,0.5282052631578947,122.79029824561404,238614.35087719298,True
blues,2004,2008,2004_2008,115,0.5423739130434783,0.495324347826087,5.504347826086956,0.6956521739130435,0.5228817391304348,122.00330434782607,234818.19130434783,True
blues,2005,2009,2005_2009,110,0.5476454545454545,0.48947545454545455,5.663636363636364,0.7,0.5244218181818182,123.99672727272727,239619.94545454546,True
blues,2006,2010,2006_2010,113,0.5465929203539823,0.5080380530973451,6.123893805309734,0.6902654867256637,0.5238991150442478,125.6555221238938,240643.1150442478,True
blues,2007,2011,2007_2011,119,0.5491512605042017,0.4973638655462185,5.689075630252101,0.680672268907563,0.5206050420168067,122.51235294117646,231496.32773109243,True
