genre,n_valid_windows,mean_relative_position,median_relative_position,mean_absolute_relative_position,feature
alternative rock,37,-0.21233558088291388,-0.1983138710971543,0.2123355808829139,danceability
ambient,43,-0.7134581124981194,-0.7760045312538512,0.7169787122825618,danceability
black metal,36,-1.4119702411395334,-1.408436839366597,1.4119702411395334,danceability
blues,61,0.1442654290940966,0.13855531759864062,0.16036929440519873,danceability
bossa nova,54,0.3119482321745256,0.28046653511466624,0.322946780217643,danceability
brazilian rock,34,0.11716102385721532,0.06228106850413792,0.16272283758658304,danceability
classic rock,61,0.19292624422224516,0.20461926035938344,0.20525587636211295,danceability
country,53,0.3866806360135766,0.35448988469282233,0.3866806360135766,danceability
death metal,33,-1.1673206524952915,-1.1410350425106157,1.1673206524952913,danceability
disco,46,1.0414962339232636,1.080723419974146,1.0414962339232636,danceability
doom metal,33,-1.0177378597848665,-1.045170713007909,1.0177378597848665,danceability
dream pop,34,-0.45949186653069235,-0.3547161234095839,0.45949186653069235,danceability
easy listening,47,-0.24160684774146055,-0.14136381524633554,0.290391150133561,danceability
electronic,45,0.5099192798883164,0.5446076389243936,0.5779993014287061,danceability
experimental,52,-0.20643782545642347,-0.178443601772429,0.23997232120438602,danceability
folk,57,0.0073600343723596775,0.006812078107422321,0.08932908717849837,danceability
funk,51,0.9580254189972788,0.9400156099228864,0.9580254189972786,danceability
glam rock,39,0.15158832173867617,0.1772116737281189,0.29378373931008134,danceability
gothic rock,34,-0.3195097186663036,-0.3368517670164266,0.3195097186663036,danceability
grunge,32,-0.5698387713608153,-0.5157994526863838,0.5698387713608153,danceability
hard rock,51,-0.3796489124225151,-0.3570610910055642,0.3796489124225151,danceability
hardcore,39,-0.806493228814482,-0.8284300045495051,0.806493228814482,danceability
hardcore punk,32,-0.9242016347493458,-0.9307906013027056,0.9242016347493457,danceability
indie rock,33,-0.28868451131775597,-0.19000950657703647,0.28868451131775597,danceability
industrial,35,0.138284882787255,0.09807102934330239,0.16809549123141587,danceability
jazz,61,0.02133375341889538,0.08161244573071678,0.25062516985908756,danceability
latin,40,0.5713219860678298,0.7324270982344729,0.625111591223289,danceability
metal,48,-0.7620230116118151,-0.6441701213627018,0.7620230116118151,danceability
mpb,53,0.23352596893318003,0.3335889845902704,0.3312231089087422,danceability
new wave,43,0.43686006339737987,0.4663540954399487,0.43686006339737987,danceability
pop,57,0.4486987752546392,0.5949560152422613,0.4709730282644012,danceability
pop rock,32,0.355498598799582,0.23136611931253276,0.355498598799582,danceability
post-hardcore,35,-0.7465207943471417,-0.7481532472198181,0.7465207943471416,danceability
post-punk,43,-0.1387065938115396,-0.16631559893609113,0.18591853380524098,danceability
power metal,34,-0.6395711306304989,-0.5845967841000743,0.6395711306304989,danceability
progressive metal,32,-0.7995298087679419,-0.7918654852656093,0.7995298087679419,danceability
progressive rock,53,-0.3836346821695438,-0.5068977119274198,0.43957434718643457,danceability
psychedelic rock,48,-0.44858218901683683,-0.47756066002999525,0.4485821890168369,danceability
punk,47,-0.4961385727256705,-0.5006704655060028,0.4961385727256705,danceability
rap,32,1.2563505847694774,1.2942732031564592,1.2563505847694774,danceability
reggae,42,1.2970802649870241,1.3103230120378022,1.2970802649870241,danceability
rock,61,0.012804265281669535,-0.03436448228547636,0.14656921376677803,danceability
samba,42,0.5773559887037187,0.6388824975832761,0.5773559887037186,danceability
shoegaze,35,-0.7592634426513817,-0.774808814053263,0.7592634426513817,danceability
singer-songwriter,56,0.04523236912836853,0.08490698476973577,0.1718477466079069,danceability
soft rock,49,0.2886484495430224,0.29237855886767516,0.2894922737421833,danceability
soul,61,0.5040649392929364,0.5254591935306693,0.5075149858618491,danceability
soundtrack,44,-0.44997537771303925,-0.48255585635223697,0.4646385221833246,danceability
synthpop,41,0.4900126046788711,0.4638250037807038,0.490012604678871,danceability
thrash metal,37,-0.8059112090476498,-0.7294774680676085,0.8059112090476498,danceability
alternative rock,37,0.20436784550199955,0.20967344667403914,0.21198915759240836,energy
ambient,43,-1.1874591610496006,-1.2170536430383512,1.1874591610496006,energy
black metal,36,0.6112282014610849,0.630614337215607,0.6112282014610849,energy
blues,61,-0.5432556426398185,-0.6479236300507789,0.5744684342781877,energy
bossa nova,54,-0.8777858035818313,-0.9022033931940358,0.8777858035818312,energy
brazilian rock,34,0.12215441838005239,0.22065591033620136,0.24354579054591075,energy
classic rock,61,0.04095419745842049,-0.0997705371626707,0.30341822616703956,energy
country,53,-0.4501734290080335,-0.5055309583871485,0.48218263757496677,energy
death metal,33,1.0265371472979459,1.0159247609959499,1.0265371472979459,energy
disco,46,0.2323185298484549,0.2713815738692844,0.2845217625759521,energy
doom metal,33,0.06154670803733459,0.06054774736946153,0.16634546459967203,energy
dream pop,34,-0.7817283010038202,-0.8302610793510523,0.7817283010038202,energy
easy listening,47,-0.8815679853762282,-0.8496951692221395,0.8815679853762282,energy
electronic,45,0.09433207568577762,0.09799907741251176,0.1661192975142876,energy
experimental,52,-0.34379826938118135,-0.3289614991662456,0.3892363793422066,energy
folk,57,-0.9846551846908413,-1.0570334565907866,0.9846551846908416,energy
funk,51,0.16846673845851692,0.12677038717222797,0.2004685968999885,energy
glam rock,39,0.33076384405917214,0.33516562855241144,0.3307638440591721,energy
gothic rock,34,0.3207531727931489,0.32231715730647303,0.3266435581452473,energy
grunge,32,0.3361627824956827,0.3192323836350174,0.33616278249568265,energy
hard rock,51,0.6217675038166671,0.6277941375594055,0.6217675038166671,energy
hardcore,39,0.8444340121992167,0.8694807124306834,0.8444340121992167,energy
hardcore punk,32,0.9232188712639036,0.9185734791387216,0.9232188712639036,energy
indie rock,33,0.10692407995420494,0.14602624986232982,0.15816457856146768,energy
industrial,35,0.3600993084941271,0.39991767301547937,0.3615148164158507,energy
jazz,61,-0.9404706304840739,-0.9550752629816175,0.9404706304840741,energy
latin,40,-0.08847894874373488,-0.0637251550123863,0.1596618413018167,energy
metal,48,0.609222545749984,0.6690343586413992,0.6279257537415369,energy
mpb,53,-0.606504561451591,-0.6128582768496096,0.607377443833878,energy
new wave,43,0.20779412173642095,0.2179613339791912,0.20779412173642098,energy
pop,57,-0.043041023583648176,-0.027598857949358787,0.1418887077555309,energy
pop rock,32,0.2632075508865375,0.3222233490626428,0.29986748829719845,energy
post-hardcore,35,0.6649493627332383,0.6865177414344648,0.6649493627332383,energy
post-punk,43,0.23504831771356632,0.2737919265456366,0.24861882512789313,energy
power metal,34,0.668318429707397,0.6472895717314195,0.6683184297073971,energy
progressive metal,32,0.4743771911523607,0.4450201720913939,0.4743771911523607,energy
progressive rock,53,-0.14904990535137558,-0.11879083892210207,0.1725945491280009,energy
psychedelic rock,48,-0.2744976742457372,-0.17323834619010936,0.3458609430341754,energy
punk,47,0.8350605253613,0.8290274724993807,0.8350605253612997,energy
rap,32,0.01613407579301865,0.08652915765145278,0.1423865558675496,energy
reggae,42,-0.304586183631669,-0.2758353192782049,0.3050850910027811,energy
rock,61,0.23542851262576828,0.13233934204311537,0.257301825761934,energy
samba,42,-0.12247100603556958,-0.23992379735673533,0.2969380883099476,energy
shoegaze,35,-0.028458577973049074,-0.005465052355559307,0.11220736607880764,energy
singer-songwriter,56,-0.9764013167619048,-0.9521234697055672,0.9764013167619048,energy
soft rock,49,-0.497373675052159,-0.471520528858577,0.4973736750521589,energy
soul,61,-0.37696028860948005,-0.4561681499596634,0.4531481664901559,energy
soundtrack,44,-0.9872634427201,-1.0400005628192233,0.9872634427200999,energy
synthpop,41,0.20403250171184148,0.2092277938226144,0.24899661746509122,energy
thrash metal,37,1.0093372647020828,0.9961199516252991,1.0093372647020826,energy
alternative rock,37,0.012858148237758582,-0.015529408096365268,0.0936476531075599,valence
ambient,43,-1.028341199835978,-0.978607170060733,1.028341199835978,valence
black metal,36,-1.0998906240610937,-1.1025850439439155,1.099890624061094,valence
blues,61,0.15995604856051335,0.17278960941557578,0.2138600006582376,valence
bossa nova,54,0.16283735022340096,0.17466499798887392,0.23907546852276068,valence
