genre,window_start,window_end,window_label,n_tracks,danceability,energy,key,mode,valence,tempo,duration_ms,eligible_window
blues,1955,1959,1955_1959,43,0.09725211679275629,-0.008812175661874052,-0.14093423786031342,0.19119658284009833,-0.025192061360270312,-0.18354696865485892,-0.2640264316928187,True
bossa nova,1955,1959,1955_1959,1,0.6954083464134161,-0.6742989971564054,1.4315367467701114,-1.539848700560726,-0.5244958082408564,0.17536087467923916,-0.5602045125718745,False
classic rock,1955,1959,1955_1959,26,0.6447543051685585,1.4941008938849216,-0.14662035910651156,0.48100959408820015,1.4846829382160773,0.25118464070561053,-0.6915727169646867,True
country,1955,1959,1955_1959,23,1.1053070409122687,0.4654831295649949,-0.2519596882801502,0.554229097517509,0.7810625980046842,0.1595450120070166,-0.5427851439701239,True
easy listening,1955,1959,1955_1959,9,-0.44773467019495594,-0.23573546887881472,0.01885151271466802,-0.08033993220316822,-0.42666584664191437,-0.39095464375874833,-0.28609610612964775,False
folk,1955,1959,1955_1959,1,0.1738221791396344,-1.1859314915655987,-1.4580466865251138,0.6494144519756107,-0.6125427736799041,-0.4411482236013471,-0.5882836249481476,False
jazz,1955,1959,1955_1959,179,-0.338038882920314,-0.44468207979682056,0.102974084422642,-0.292335619227171,-0.41170287639191727,-0.05925156063499627,0.3868832564349415,True
mpb,1955,1959,1955_1959,1,1.4256289805967106,2.339795855772205,-0.8801299998660687,0.6494144519756107,1.7302721327851942,-0.684357360067968,-0.6637128119446477,False
pop,1955,1959,1955_1959,2,1.3669505367784103,1.2617291423551165,1.142578403440589,0.6494144519756107,0.8440602849965172,-0.41603907333884943,-0.7285120492558446,False
rock,1955,1959,1955_1959,22,0.6930375001985353,1.027331303907613,-0.45982695502312687,0.45039052901776183,0.9388934789970727,0.2757411318362349,-0.713972979637313,True
soul,1955,1959,1955_1959,20,-0.10522642035183905,0.3470793749135014,0.2901512906184975,0.430488136721977,-0.04425703370483254,0.3766361410207638,-0.2941260915752295,True
blues,1956,1960,1956_1960,53,-0.03856867817105325,0.027745088852069492,-0.17254899069575805,0.12991529459658008,-0.06735989580429488,-0.19828444408131157,-0.2983687841148379,True
bossa nova,1956,1960,1956_1960,1,0.6483890326461035,-0.773879489997624,1.445845775317808,-1.4411533842457842,-0.6576725866946412,0.163177722378866,-0.5585210592623348,False
classic rock,1956,1960,1956_1960,28,0.5158778640150896,1.4113597320806328,-0.10153215552207648,0.5413856628648184,1.3836674805720814,0.2652967538542764,-0.6660817156815328,True
country,1956,1960,1956_1960,30,0.9822470393595545,0.3018940506151582,-0.027648344409901784,0.6227205981308944,0.6178423638962534,0.018232128229602195,-0.5625262760215098,True
easy listening,1956,1960,1956_1960,9,-0.3171806926526023,-0.07966953450244094,-0.11547249724135475,-0.017792017089454177,-0.252457352024868,-0.17195173080479215,-0.33834907626025196,False
folk,1956,1960,1956_1960,6,-0.4878504019669014,-1.2819172473409601,-0.26184608529377623,-1.0853130424567017,-0.7939762090862441,-0.20676928144863638,-0.3873584912086841,False
jazz,1956,1960,1956_1960,172,-0.3317928252993744,-0.46157648138921475,0.0655087996141587,-0.323980218163781,-0.45017546049895424,-0.058500244407550445,0.5205563965294377,True
mpb,1956,1960,1956_1960,1,1.4339372837365758,2.2684528185912085,-0.896131633520936,0.6938886664887108,1.6470977555633717,-0.7093344343238016,-0.6631143858049084,False
pop,1956,1960,1956_1960,4,0.8552968309243976,0.6078653252668269,0.9335382171343327,0.16012815380508708,0.7960153286684347,-0.19038824122858491,-0.6819772425112279,False
rock,1956,1960,1956_1960,26,0.601989891441584,0.954456834112425,-0.28811826776472366,0.3654206586834039,0.8985064219868171,0.31009345804458543,-0.6964314311975469,True
singer-songwriter,1956,1960,1956_1960,1,-1.1261083559779104,-1.369650675315914,0.27485707089843603,-1.4411533842457842,-1.1076701917195504,0.45439143640569457,0.007934644312333749,False
soul,1956,1960,1956_1960,29,0.032865541566900185,0.3580013353921549,0.24457288026690052,0.47302224744721133,0.14935460240700235,0.28189359368378464,-0.37165374861097444,True
blues,1957,1961,1957_1961,47,-0.01003269049101017,0.07789353589320291,-0.27831738435199643,0.08366689703795609,0.03253382261570803,-0.24875607986038317,-0.37982611910287045,True
bossa nova,1957,1961,1957_1961,1,0.6444164954315839,-0.8014456688906084,1.4318629068795665,-1.4730279429646664,-0.6560050979896543,0.13777752710444488,-0.5752195741716926,False
classic rock,1957,1961,1957_1961,26,0.5281219184261908,1.1176108118951715,-0.08027393089416071,0.43057739871274864,1.23050695166115,0.19407682663139855,-0.6433235262978344,True
country,1957,1961,1957_1961,36,0.6991845124314355,0.08086684684358064,0.1860612816849155,0.559323653705424,0.446162231511328,0.00822319439085908,-0.565317992721559,True
easy listening,1957,1961,1957_1961,7,-0.4911973694275312,-0.02555612890293757,-0.10747639252606903,-0.24336983405503185,-0.2915475171845222,-0.3470874272957613,-0.4081804068392528,False
folk,1957,1961,1957_1961,6,-0.4842304132014017,-1.3043952231793106,-0.2669574911131394,-1.1143776611993563,-0.7916797648389947,-0.22734284000900154,-0.42218464728132715,False
jazz,1957,1961,1957_1961,149,-0.3503152277541869,-0.4341463430771904,0.02850369795289783,-0.3320867781542169,-0.483669821279665,-0.0420874859474076,0.6231548409462336,True
latin,1957,1961,1957_1961,1,-0.6584043188546395,-1.2920515259522338,-1.189174278594894,0.6788737476271941,-1.0455017492317802,-0.6680521910338911,1.4102693966329103,False
mpb,1957,1961,1957_1961,1,1.4247155927580923,2.2104164545160776,-0.8979479246532873,0.6788737476271941,1.6381301778264672,-0.7233511093495634,-0.6687355354164766,False
pop,1957,1961,1957_1961,4,0.8499417041024053,0.5664604147281509,0.9222167874817546,0.14089832497922897,0.7909749613748434,-0.21117552048224536,-0.6856006475132419,False
rock,1957,1961,1957_1961,21,0.7346551665509761,0.96749698481131,-0.12134431414233605,0.37145922039978546,0.9034653037454858,0.2150007527009034,-0.6854011981368318,True
