window_start,key,n_tracks,share
1955,0,54,0.1651376146788991
1955,1,19,0.0581039755351682
1955,2,25,0.0764525993883792
1955,3,21,0.06422018348623854
1955,4,21,0.06422018348623854
1955,5,39,0.11926605504587157
1955,6,7,0.021406727828746176
1955,7,38,0.1162079510703364
1955,8,38,0.1162079510703364
1955,9,30,0.09174311926605505
1955,10,28,0.0856269113149847
1955,11,7,0.021406727828746176
1956,0,57,0.15833333333333333
1956,1,19,0.05277777777777778
1956,2,28,0.07777777777777778
1956,3,26,0.07222222222222222
1956,4,23,0.06388888888888888
1956,5,44,0.12222222222222222
1956,6,9,0.025
1956,7,45,0.125
1956,8,41,0.11388888888888889
1956,9,28,0.07777777777777778
1956,10,32,0.08888888888888889
1956,11,8,0.022222222222222223
1957,0,52,0.15476190476190477
1957,1,19,0.05654761904761905
1957,2,25,0.0744047619047619
1957,3,26,0.07738095238095238
1957,4,22,0.06547619047619048
1957,5,39,0.11607142857142858
1957,6,10,0.02976190476190476
1957,7,41,0.12202380952380952
1957,8,35,0.10416666666666667
1957,9,27,0.08035714285714286
1957,10,32,0.09523809523809523
1957,11,8,0.023809523809523808
1958,0,47,0.1378299120234604
1958,1,17,0.04985337243401759
1958,2,27,0.07917888563049853
1958,3,24,0.07038123167155426
1958,4,24,0.07038123167155426
1958,5,35,0.10263929618768329
1958,6,10,0.02932551319648094
1958,7,46,0.1348973607038123
1958,8,28,0.08211143695014662
1958,9,34,0.09970674486803519
1958,10,40,0.11730205278592376
1958,11,9,0.026392961876832845
1959,0,41,0.10933333333333334
1959,1,20,0.05333333333333334
1959,2,38,0.10133333333333333
1959,3,25,0.06666666666666667
1959,4,33,0.088
1959,5,52,0.13866666666666666
1959,6,7,0.018666666666666668
1959,7,49,0.13066666666666665
1959,8,26,0.06933333333333333
1959,9,34,0.09066666666666667
1959,10,40,0.10666666666666667
1959,11,10,0.02666666666666667
1960,0,55,0.12387387387387387
1960,1,23,0.0518018018018018
1960,2,45,0.10135135135135136
1960,3,24,0.05405405405405406
1960,4,38,0.08558558558558559
1960,5,54,0.12162162162162163
1960,6,12,0.02702702702702703
1960,7,67,0.15090090090090091
1960,8,22,0.04954954954954955
1960,9,47,0.10585585585585586
1960,10,42,0.0945945945945946
1960,11,15,0.033783783783783786
1961,0,96,0.15118110236220472
1961,1,38,0.05984251968503937
1961,2,74,0.11653543307086614
1961,3,23,0.03622047244094488
1961,4,59,0.09291338582677165
1961,5,65,0.10236220472440945
1961,6,13,0.02047244094488189
1961,7,87,0.13700787401574804
1961,8,32,0.050393700787401574
1961,9,76,0.11968503937007874
