genre,window_start,window_end,window_label,n_tracks,major_share
alternative rock,1979,1983,1979_1983,30,0.7333333333333333
alternative rock,1980,1984,1980_1984,44,0.7045454545454546
alternative rock,1981,1985,1981_1985,55,0.7090909090909091
alternative rock,1982,1986,1982_1986,60,0.7333333333333333
alternative rock,1983,1987,1983_1987,79,0.6835443037974683
alternative rock,1984,1988,1984_1988,66,0.7121212121212122
alternative rock,1985,1989,1985_1989,64,0.703125
alternative rock,1986,1990,1986_1990,76,0.6973684210526315
alternative rock,1987,1991,1987_1991,125,0.72
alternative rock,1988,1992,1988_1992,140,0.7714285714285715
alternative rock,1989,1993,1989_1993,175,0.7771428571428571
alternative rock,1990,1994,1990_1994,222,0.7792792792792793
alternative rock,1991,1995,1991_1995,279,0.7813620071684588
alternative rock,1992,1996,1992_1996,307,0.7719869706840391
alternative rock,1993,1997,1993_1997,336,0.7678571428571429
alternative rock,1994,1998,1994_1998,389,0.7352185089974294
alternative rock,1995,1999,1995_1999,426,0.704225352112676
alternative rock,1996,2000,1996_2000,455,0.6879120879120879
alternative rock,1997,2001,1997_2001,479,0.6743215031315241
alternative rock,1998,2002,1998_2002,503,0.6640159045725647
alternative rock,1999,2003,1999_2003,528,0.6496212121212122
alternative rock,2000,2004,2000_2004,518,0.6428571428571429
alternative rock,2001,2005,2001_2005,551,0.631578947368421
alternative rock,2002,2006,2002_2006,602,0.6112956810631229
alternative rock,2003,2007,2003_2007,656,0.6219512195121951
alternative rock,2004,2008,2004_2008,653,0.6385911179173047
alternative rock,2005,2009,2005_2009,741,0.650472334682861
alternative rock,2006,2010,2006_2010,717,0.6596931659693166
alternative rock,2007,2011,2007_2011,738,0.6666666666666666
alternative rock,2008,2012,2008_2012,757,0.6393659180977543
alternative rock,2009,2013,2009_2013,793,0.6330390920554855
alternative rock,2010,2014,2010_2014,751,0.6324900133155792
alternative rock,2011,2015,2011_2015,769,0.6176853055916776
alternative rock,2012,2016,2012_2016,684,0.6111111111111112
alternative rock,2013,2017,2013_2017,678,0.6032448377581121
alternative rock,2014,2018,2014_2018,682,0.5821114369501467
alternative rock,2015,2019,2015_2019,605,0.5702479338842975
ambient,1971,1975,1971_1975,20,0.65
ambient,1972,1976,1972_1976,22,0.6363636363636364
ambient,1973,1977,1973_1977,35,0.6285714285714286
ambient,1974,1978,1974_1978,36,0.6388888888888888
ambient,1975,1979,1975_1979,34,0.6176470588235294
ambient,1976,1980,1976_1980,25,0.56
ambient,1977,1981,1977_1981,23,0.6086956521739131
ambient,1980,1984,1980_1984,28,0.75
ambient,1981,1985,1981_1985,31,0.7741935483870968
ambient,1982,1986,1982_1986,34,0.7352941176470589
ambient,1983,1987,1983_1987,43,0.5813953488372093
ambient,1984,1988,1984_1988,51,0.5490196078431373
