feature,n_tracks,n_nonzero_tracks,n_zero_tracks,nonzero_share,mean_tfidf,std_tfidf,mean_nonzero_tfidf,median_nonzero_tfidf,max_tfidf,temporal_std,first_window_value_selection,last_window_value_selection,last_minus_first_selection,absolute_last_minus_first,linear_trend_selection,absolute_linear_trend,selection_rank,first_window_value_change,last_window_value_change,last_minus_first_change,linear_trend_change,mean_value,median_value
love,97883,34299,63584,0.3504081403308031,0.04620347920707977,0.10253997969602507,0.1318561810906029,0.0820768025009731,0.9974761779446608,0.008934079236834229,0.0704214276773716,0.043697987316867005,-0.026723440360504593,0.026723440360504593,-0.00044026535843330654,0.00044026535843330654,1,0.0704214276773716,0.043697987316867005,-0.026723440360504593,-0.00044026535843330654,0.05317249737763844,0.051512161362147965
babi,97883,13113,84770,0.13396606152242985,0.01947404351072057,0.07157984641361342,0.14536549995880896,0.0930616017836197,0.9948818543510788,0.00865705617986996,0.03714892275123692,0.018021253309793695,-0.019127669441443226,0.019127669441443226,-0.0004390418422276396,0.0004390418422276396,2,0.03714892275123692,0.018021253309793695,-0.019127669441443226,-0.0004390418422276396,0.025715188075398732,0.022377335030493824
want,97883,33190,64693,0.3390782873430524,0.0381336252771618,0.08545401541935065,0.112462598463526,0.07178587335856045,0.9908824508081084,0.006057883475339681,0.017189142098516925,0.04374162182619558,0.026552479727678654,0.026552479727678654,0.0003081838103170542,0.0003081838103170542,3,0.017189142098516925,0.04374162182619558,0.026552479727678654,0.0003081838103170542,0.03231442794849085,0.03352552419364536
blue,97883,4835,93048,0.04939570711972457,0.006501435514976517,0.04017242102230339,0.13161944415976143,0.0909168090494481,0.9715093020857888,0.006106599459864151,0.03333727369837839,0.005945698670911882,-0.02739157502746651,0.02739157502746651,-0.00028826188176952024,0.00028826188176952024,4,0.03333727369837839,0.005945698670911882,-0.02739157502746651,-0.00028826188176952024,0.010098661207238922,0.007658380992351979
feel,97883,29703,68180,0.3034541238008643,0.027120854342382067,0.06290381268543525,0.08937382034122426,0.060278735458617,1.0,0.005145559124034843,0.015613508488972602,0.03068751220100778,0.015074003712035178,0.015074003712035178,0.0002765212848870669,0.0002765212848870669,5,0.015613508488972602,0.03068751220100778,0.015074003712035178,0.0002765212848870669,0.022418385564489565,0.0228529379911315
man,97883,12031,85852,0.12291204805737461,0.012825991991351737,0.049858734335174466,0.10435097449002427,0.0706971832499864,0.980736480382416,0.00514968226476444,0.016345282611159785,0.010244659675156436,-0.0061006229360033495,0.0061006229360033495,-0.00024634358314167584,0.00024634358314167584,6,0.016345282611159785,0.010244659675156436,-0.0061006229360033495,-0.00024634358314167584,0.017521819967401604,0.017121598168550772
well,97883,18783,79100,0.19189236128847706,0.017480336304924037,0.05244439234025399,0.09109448749054357,0.062161991499134,0.9735880490712177,0.004797512027828137,0.03522530354266868,0.016054308795734412,-0.019170994746934268,0.019170994746934268,-0.0002330729724711428,0.0002330729724711428,7,0.03522530354266868,0.016054308795734412,-0.019170994746934268,-0.0002330729724711428,0.02056835490112502,0.01855986284533185
like,97883,37780,60103,0.3859710062012811,0.03326278402769791,0.06537896999330262,0.08617948885609195,0.059665137907565446,0.9004764331181475,0.004403538067082649,0.021464912751560566,0.03925343159817815,0.017788518846617585,0.017788518846617585,0.0002299853240759559,0.0002299853240759559,8,0.021464912751560566,0.03925343159817815,0.017788518846617585,0.0002299853240759559,0.0282192630486043,0.028606500947785038
pron,97883,18813,79070,0.19219884964702758,0.01865352287685582,0.05460278790402495,0.09705324933584639,0.0665898537406356,0.8584123150287354,0.004057506869915221,0.007741278030915745,0.02064025917228855,0.012898981141372804,0.012898981141372804,0.00021712539958568006,0.00021712539958568006,9,0.007741278030915745,0.02064025917228855,0.012898981141372804,0.00021712539958568006,0.01489851916123056,0.015125419826740396
cri,97883,8806,89077,0.08996454951319433,0.010094613964989584,0.046083655466582,0.11220657491881393,0.07779230850176619,0.9829296252906826,0.004781023965416977,0.01771627422422592,0.008467857020218794,-0.009248417204007126,0.009248417204007126,-0.0002148800427655472,0.0002148800427655472,10,0.01771627422422592,0.008467857020218794,-0.009248417204007126,-0.0002148800427655472,0.013518001646873836,0.012766570279254522
yes,97883,4626,93257,0.04726050488848932,0.005973068571473293,0.037211172678622284,0.12638605079583234,0.08602729699996431,0.933068802352426,0.0042622283137822535,0.012188779594042487,0.005068992651963006,-0.007119786942079482,0.007119786942079482,-0.00020258076608691903,0.00020258076608691903,11,0.012188779594042487,0.005068992651963006,-0.007119786942079482,-0.00020258076608691903,0.008811032131132287,0.006849256813905344
woman,97883,3125,94758,0.03192587068234525,0.004675733553308466,0.03650668083790374,0.14645594476751764,0.0942543258487898,0.953831992751171,0.003977827608368999,0.01179338711083623,0.0033663768511959474,-0.008427010259640282,0.008427010259640282,-0.00019755134058993299,0.00019755134058993299,12,0.01179338711083623,0.0033663768511959474,-0.008427010259640282,-0.00019755134058993299,0.007782030674236073,0.006678169786137204
life,97883,21371,76512,0.2183320903527681,0.0203131107689971,0.05487100597607441,0.09303767822758613,0.0658582593691764,0.9686455018315168,0.004642927536691038,0.008042158805812981,0.019439598151102962,0.011397439345289981,0.011397439345289981,0.00018217821639395762,0.00018217821639395762,13,0.008042158805812981,0.019439598151102962,0.011397439345289981,0.00018217821639395762,0.018905068123789528,0.020004794612595352
let,97883,23626,74257,0.24136979863714844,0.024522680359249673,0.06633524796729834,0.10159796502177414,0.0658956813828039,0.9264805566010909,0.0035197000229881263,0.01731166618690956,0.027006100821765102,0.009694434634855541,0.009694434634855541,0.0001783239845106786,0.0001783239845106786,14,0.01731166618690956,0.027006100821765102,0.009694434634855541,0.0001783239845106786,0.020625732900925915,0.019437728111111222
light,97883,14532,83351,0.14846296088186917,0.014248592757533695,0.04811030029943047,0.09597405758915983,0.06812218455904145,0.9558273535656184,0.0035487125731510855,0.0037496637445824446,0.015941634626705403,0.012191970882122958,0.012191970882122958,0.0001757571325455796,0.0001757571325455796,15,0.0037496637445824446,0.015941634626705403,0.012191970882122958,0.0001757571325455796,0.011247496186523483,0.012027293343234042
breath,97883,6899,90984,0.07048210618799997,0.00770776054400511,0.03828651310842215,0.10935769319160055,0.078793832907553,0.9350109872697546,0.0030381197113037244,0.0002821984141838777,0.008935532527780423,0.008653334113596546,0.008653334113596546,0.00016905231578766755,0.00016905231578766755,16,0.0002821984141838777,0.008935532527780423,0.008653334113596546,0.00016905231578766755,0.004898436169237861,0.004661465321673334
insid,97883,10078,87805,0.10295965591573614,0.010217282661819828,0.040601327706551414,0.09923578872662335,0.0719638656782656,1.0,0.003431083055435244,0.0031518111794301192,0.009719810294422947,0.0065679991149928275,0.0065679991149928275,0.00016397711929322465,0.00016397711929322465,17,0.0031518111794301192,0.009719810294422947,0.0065679991149928275,0.00016397711929322465,0.008595528173958759,0.010036711017845458
everyth,97883,12223,85660,0.12487357355209791,0.013210104589787712,0.049482733072608864,0.10578783175670382,0.072542085641946,1.0,0.0032164862874033023,0.00566652629757596,0.014429556125659439,0.008763029828083479,0.008763029828083479,0.00016368290476724532,0.00016368290476724532,18,0.00566652629757596,0.014429556125659439,0.008763029828083479,0.00016368290476724532,0.010245281272402517,0.009129893841054023
never,97883,26433,71450,0.27004689271885823,0.025315253415070682,0.06317602164532916,0.09374391669607551,0.063370972054565,0.9148295405170156,0.003353495913157766,0.025941229613080742,0.02561572935472718,-0.00032550025835356364,0.00032550025835356364,0.0001595045066410672,0.0001595045066410672,19,0.025941229613080742,0.02561572935472718,-0.00032550025835356364,0.0001595045066410672,0.0230032810359911,0.023795239648258384
old,97883,7564,90319,0.07727593146920303,0.007980453061824211,0.03705934394685896,0.10327216909710989,0.07533740781724971,0.8600735660042507,0.0033536490924378024,0.018710591982685668,0.007354373364094245,-0.011356218618591422,0.011356218618591422,-0.00015591692115642146,0.00015591692115642146,20,0.018710591982685668,0.007354373364094245,-0.011356218618591422,-0.00015591692115642146,0.010127623210772934,0.008337422771603063
fuck,97883,4910,92973,0.05016192801610086,0.007331933008144521,0.04426699034990737,0.14616529503792466,0.09852675155586019,0.962121608670625,0.0032380117702162673,0.0,0.015031089539899933,0.015031089539899933,0.015031089539899933,0.0001544827394014752,0.0001544827394014752,21,0.0,0.015031089539899933,0.015031089539899933,0.0001544827394014752,0.0028307623814858946,0.001930312490138716
littl,97883,10704,87179,0.10935504633082353,0.011949062280565675,0.04836920060719978,0.10926850366298674,0.07396676785027301,0.9943648998331284,0.003301343740476552,0.02155256585317007,0.011238647948848844,-0.010313917904321224,0.010313917904321224,-0.00015409726497040533,0.00015409726497040533,22,0.02155256585317007,0.011238647948848844,-0.010313917904321224,-0.00015409726497040533,0.014002777312601885,0.012558825655541592
lose,97883,14709,83174,0.15027124219731722,0.014245115073968122,0.04789754946073456,0.09479601596201113,0.0671893983565172,0.9130296532691456,0.0028245191686603614,0.006917155454209728,0.01528090008745514,0.008363744633245412,0.008363744633245412,0.00015347792461913775,0.00015347792461913775,23,0.006917155454209728,0.01528090008745514,0.008363744633245412,0.00015347792461913775,0.011612258487763882,0.011962132934050395
sweet,97883,4408,93475,0.04503335614968892,0.005847022586567216,0.03764698066772987,0.12983759343034457,0.08803700744389795,0.9619358366404128,0.002792751669821912,0.0121796017033788,0.0049574591190725,-0.0072221425843062995,0.0072221425843062995,-0.00014258378625963463,0.00014258378625963463,24,0.0121796017033788,0.0049574591190725,-0.0072221425843062995,-0.00014258378625963463,0.0080341478820428,0.00687673744000944
away,97883,19065,78818,0.1947733518588519,0.019375550321646135,0.05709678402199106,0.09947741894223386,0.0676930397916173,0.9075260309888296,0.00348704835308118,0.010151514676197841,0.01768150608391642,0.007529991407718577,0.007529991407718577,0.00014075721484361968,0.00014075721484361968,25,0.010151514676197841,0.01768150608391642,0.007529991407718577,0.00014075721484361968,0.01838713873628296,0.019362020177260252
one,97883,29733,68150,0.3037606121594148,0.026662145211348933,0.06278396594764846,0.08777354319182283,0.059763389533663,0.957270000636924,0.0030231143441389863,0.01699602986074817,0.026045782833779688,0.009049752973031518,0.009049752973031518,0.00014043630617806234,0.00014043630617806234,26,0.01699602986074817,0.026045782833779688,0.009049752973031518,0.00014043630617806234,0.025324063941833057,0.02616994767909692
take,97883,29273,68610,0.2990611239949736,0.024705512089161035,0.05819029698193031,0.08261024287990126,0.0569308463253131,0.9499377374247522,0.003577371211903172,0.01192349244081204,0.02458439567641057,0.012660903235598528,0.012660903235598528,0.00013666516802821906,0.00013666516802821906,27,0.01192349244081204,0.02458439567641057,0.012660903235598528,0.00013666516802821906,0.023133335869872877,0.024315389455859596
wait,97883,11622,86261,0.11873359010246927,0.013355649250446695,0.05369013916103962,0.11248416929801014,0.0739588386468413,0.9634345418689956,0.002961104678174304,0.0022560822314654843,0.013555280399419356,0.011299198167953873,0.011299198167953873,0.00013560303851548926,0.00013560303851548926,28,0.0022560822314654843,0.013555280399419356,0.011299198167953873,0.00013560303851548926,0.011414057268637859,0.012020615187216286
fall,97883,15376,82507,0.15708550003575697,0.015857516370196383,0.052930393713315635,0.10094831392195189,0.06971144595161476,0.9396607866393836,0.0029044101209807697,0.01456152721054686,0.01607937453898282,0.00151784732843596,0.00151784732843596,0.00013140388511000386,0.00013140388511000386,29,0.01456152721054686,0.01607937453898282,0.00151784732843596,0.00013140388511000386,0.013680842488269205,0.013687387420260098
darl,97883,1387,96496,0.014169978443652115,0.002504887785215487,0.02714099462681875,0.17677428340320658,0.1240007149238106,0.8248868563809735,0.0030879607914893483,0.009406297851262018,0.002446153642596858,-0.00696014420866516,0.00696014420866516,-0.00013011832243222936,0.00013011832243222936,30,0.009406297851262018,0.002446153642596858,-0.00696014420866516,-0.00013011832243222936,0.003905738503078385,0.0024568213184794027
burn,97883,7820,90063,0.07989129879550075,0.009448444846269747,0.04476065556673939,0.11826625663522017,0.0829588111595056,0.9804695209830292,0.002626593915243052,0.003952017940016354,0.009975027640417473,0.006023009700401119,0.006023009700401119,0.0001290420659266896,0.0001290420659266896,31,0.003952017940016354,0.009975027640417473,0.006023009700401119,0.0001290420659266896,0.007756907100525586,0.009288650287884608
alway,97883,13131,84752,0.13414995453756015,0.013429069774532556,0.048255785861907985,0.10010491483821264,0.0694545672831903,0.9631101508940731,0.0025192087203585664,0.01046678131892813,0.014337133662737424,0.003870352343809294,0.003870352343809294,0.00012850228827602838,0.00012850228827602838,32,0.01046678131892813,0.014337133662737424,0.003870352343809294,0.00012850228827602838,0.011523924080768726,0.012316546131821189
true,97883,5349,92534,0.05464687432955671,0.006214596353530739,0.034403444144562374,0.11372281452096643,0.0837291226308647,0.8469024334848009,0.0030587393273139637,0.012735976216173998,0.005456485636403489,-0.00727949057977051,0.00727949057977051,-0.000126909740260006,0.000126909740260006,33,0.012735976216173998,0.005456485636403489,-0.00727949057977051,-0.000126909740260006,0.008130695533747321,0.007111178564867454
give,97883,19048,78835,0.19459967512233994,0.01912596986387019,0.0596443626237407,0.09828366800636319,0.06425504558125775,0.9736022394113444,0.003033517277381006,0.009225527537763534,0.01990448711069426,0.010678959572930727,0.010678959572930727,0.0001257277947669393,0.0001257277947669393,34,0.009225527537763534,0.01990448711069426,0.010678959572930727,0.0001257277947669393,0.017489344137036865,0.01856319548257459
noth,97883,14271,83612,0.14579651216247969,0.014929164731320235,0.052575404162889944,0.10239726938517403,0.0694593441455508,0.9848314005157818,0.00240915696690288,0.008552083876178139,0.015520957676129803,0.006968873799951664,0.006968873799951664,0.00012352861722102115,0.00012352861722102115,35,0.008552083876178139,0.015520957676129803,0.006968873799951664,0.00012352861722102115,0.013101902700309228,0.013464040826826807
make,97883,31512,66371,0.3219353718214603,0.025488988571177346,0.055748201089938505,0.07917424055320361,0.055397751585420096,0.9005466417764141,0.0028565330596853847,0.016723762342494463,0.025952408132646074,0.009228645790151611,0.009228645790151611,0.00012267674593046196,0.00012267674593046196,36,0.016723762342494463,0.025952408132646074,0.009228645790151611,0.00012267674593046196,0.02380166030103419,0.02432718489864574
end,97883,11649,86234,0.11900942962516474,0.011901077187983803,0.04498937338601841,0.1000011278557317,0.0709437651022063,0.9395449040009788,0.0023062672137331374,0.006073449347996699,0.012454170028268822,0.006380720680272123,0.006380720680272123,0.00012220644439506749,0.00012220644439506749,37,0.006073449347996699,0.012454170028268822,0.006380720680272123,0.00012220644439506749,0.009926618463096244,0.010213838117703714
blood,97883,4847,93036,0.04951830246314477,0.006220000202460469,0.03613649489544951,0.12561012581337697,0.0938968441431659,1.0,0.002540205004628885,0.0008075555806516373,0.006449272733221229,0.005641717152569592,0.005641717152569592,0.00011787811720791088,0.00011787811720791088,38,0.0008075555806516373,0.006449272733221229,0.005641717152569592,0.00011787811720791088,0.004892145967720931,0.006264026574508255
time,97883,32661,65222,0.33367387595394504,0.02772002939702392,0.06103297162281601,0.08307521623553756,0.0567974075467257,0.989437957929792,0.003793786682796828,0.016089387776499195,0.02771724162647694,0.011627853849977745,0.011627853849977745,0.0001169017933931177,0.0001169017933931177,39,0.016089387776499195,0.02771724162647694,0.011627853849977745,0.0001169017933931177,0.02643266764371259,0.02736945497239989
